2025-02-04 23:20:47,416 - INFO - Namespace(device='cuda:0', channel_weights=[1.0, 2.0, 1.0, 1.0], batch_size=8, num_classes=4, pretrained=False, pretrained_weights='./Synapse_weights_1u1d', lr=0.0001, epochs=500, warmup_epochs=10, dataset_mode='MnMs', max_channel=256, l2_norm=1e-07, patience=15, wandb=True, cache=True, ed_es_only='', log_dir='../../de_logistics/MnMs_1UNetlinear_02-04-23-20-45/', log_file_path='../../de_logistics/MnMs_1UNetlinear_02-04-23-20-45/training.log')
Epoch 1/500 [Training]: 100%|████████████████████████████████████████| 141/141 [01:24<00:00,  1.67batch/s]
Epoch 9/500 [Validation]: 100%|██████████████████████████████████████████| 9/9 [00:05<00:00,  1.62batch/s]
2025-02-04 23:34:12,040 - INFO - valid_loss:1.1959296994739108 in epoch9
2025-02-04 23:34:12,040 - INFO - valid_acc:0.8395289361176331 in epoch9
2025-02-04 23:34:12,040 - INFO - Mean iou = 73.77% in epoch9
Epoch 10/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:21<00:00,  1.72batch/s]
2025-02-04 23:35:34,001 - INFO - train_loss:1.1892354014917468 in epoch10
2025-02-04 23:35:34,001 - INFO - train_acc:0.8443887001459259 in epoch10
2025-02-04 23:35:34,001 - INFO - Epoch 10: Learning Rate: [0.0001]
Epoch 10/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:05<00:00,  1.72batch/s]
2025-02-04 23:35:39,237 - INFO - valid_loss:1.1983210510677762 in epoch10
2025-02-04 23:35:39,238 - INFO - valid_acc:0.8507687371904725 in epoch10
2025-02-04 23:35:39,238 - INFO - Mean iou = 75.37% in epoch10
Epoch 11/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:23<00:00,  1.69batch/s]
2025-02-04 23:37:02,821 - INFO - train_loss:1.189319652023045 in epoch11
2025-02-04 23:37:02,821 - INFO - train_acc:0.8447902471097004 in epoch11
2025-02-04 23:37:02,821 - INFO - Epoch 11: Learning Rate: [9.999897245068351e-05]
Epoch 11/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:05<00:00,  1.58batch/s]
2025-02-04 23:37:08,504 - INFO - valid_loss:1.1948039531707764 in epoch11
2025-02-04 23:37:08,505 - INFO - valid_acc:0.8636334062928661 in epoch11
2025-02-04 23:37:08,505 - INFO - Mean iou = 77.13% in epoch11
Epoch 12/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:23<00:00,  1.69batch/s]
2025-02-04 23:38:31,995 - INFO - train_loss:1.1882938687682998 in epoch12
2025-02-04 23:38:31,996 - INFO - train_acc:0.8560565041113996 in epoch12
2025-02-04 23:38:31,996 - INFO - Epoch 12: Learning Rate: [9.999588984497258e-05]
Epoch 12/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:05<00:00,  1.52batch/s]
2025-02-04 23:38:37,935 - INFO - valid_loss:1.1969640254974365 in epoch12
2025-02-04 23:38:37,935 - INFO - valid_acc:0.8593051713696348 in epoch12
2025-02-04 23:38:37,935 - INFO - Mean iou = 76.50% in epoch12
Epoch 13/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:25<00:00,  1.64batch/s]
2025-02-04 23:40:03,813 - INFO - train_loss:1.188501570241671 in epoch13
2025-02-04 23:40:03,814 - INFO - train_acc:0.8533684929258047 in epoch13
2025-02-04 23:40:03,814 - INFO - Epoch 13: Learning Rate: [9.999075230958104e-05]
Epoch 13/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:05<00:00,  1.59batch/s]
2025-02-04 23:40:09,470 - INFO - valid_loss:1.1935221089257135 in epoch13
2025-02-04 23:40:09,471 - INFO - valid_acc:0.8882507374871057 in epoch13
2025-02-04 23:40:09,471 - INFO - Mean iou = 80.73% in epoch13
2025-02-04 23:40:09,471 - INFO - save the model in epoch13
Epoch 14/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:13<00:00,  1.92batch/s]
2025-02-04 23:41:22,850 - INFO - train_loss:1.1879737630803535 in epoch14
2025-02-04 23:41:22,850 - INFO - train_acc:0.8591446499739732 in epoch14
2025-02-04 23:41:22,850 - INFO - Epoch 14: Learning Rate: [9.998356005569284e-05]
Epoch 14/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:05<00:00,  1.78batch/s]
2025-02-04 23:41:27,908 - INFO - valid_loss:1.1950905190573797 in epoch14
2025-02-04 23:41:27,908 - INFO - valid_acc:0.881444073308462 in epoch14
2025-02-04 23:41:27,908 - INFO - Mean iou = 79.69% in epoch14
Epoch 15/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:12<00:00,  1.94batch/s]
2025-02-04 23:42:40,667 - INFO - train_loss:1.1873558379234153 in epoch15
2025-02-04 23:42:40,667 - INFO - train_acc:0.8682219469504143 in epoch15
2025-02-04 23:42:40,667 - INFO - Epoch 15: Learning Rate: [9.99743133789534e-05]
Epoch 15/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:05<00:00,  1.76batch/s]
2025-02-04 23:42:45,779 - INFO - valid_loss:1.1936408811145358 in epoch15
2025-02-04 23:42:45,779 - INFO - valid_acc:0.8969751208813599 in epoch15
2025-02-04 23:42:45,779 - INFO - Mean iou = 82.07% in epoch15
2025-02-04 23:42:45,779 - INFO - save the model in epoch15
Epoch 16/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:12<00:00,  1.93batch/s]
2025-02-04 23:43:58,758 - INFO - train_loss:1.187255140737439 in epoch16
2025-02-04 23:43:58,758 - INFO - train_acc:0.8661080970369394 in epoch16
2025-02-04 23:43:58,759 - INFO - Epoch 16: Learning Rate: [9.996301265945735e-05]
Epoch 16/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:05<00:00,  1.70batch/s]
2025-02-04 23:44:04,045 - INFO - valid_loss:1.1939750909805298 in epoch16
2025-02-04 23:44:04,046 - INFO - valid_acc:0.8866318511311336 in epoch16
2025-02-04 23:44:04,046 - INFO - Mean iou = 80.40% in epoch16
Epoch 17/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:12<00:00,  1.94batch/s]
2025-02-04 23:45:16,747 - INFO - train_loss:1.1870957553809416 in epoch17
2025-02-04 23:45:16,748 - INFO - train_acc:0.8691245288657623 in epoch17
2025-02-04 23:45:16,748 - INFO - Epoch 17: Learning Rate: [9.994965836173304e-05]
Epoch 17/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  1.83batch/s]
2025-02-04 23:45:21,677 - INFO - valid_loss:1.196761343214247 in epoch17
2025-02-04 23:45:21,677 - INFO - valid_acc:0.8785445420565576 in epoch17
2025-02-04 23:45:21,677 - INFO - Mean iou = 79.30% in epoch17
Epoch 18/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:12<00:00,  1.93batch/s]
2025-02-04 23:46:34,576 - INFO - train_loss:1.187039700805718 in epoch18
2025-02-04 23:46:34,577 - INFO - train_acc:0.8690040111300151 in epoch18
2025-02-04 23:46:34,577 - INFO - Epoch 18: Learning Rate: [9.99342510347233e-05]
Epoch 18/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  1.89batch/s]
2025-02-04 23:46:39,352 - INFO - valid_loss:1.1942120260662503 in epoch18
2025-02-04 23:46:39,352 - INFO - valid_acc:0.8994463265400885 in epoch18
2025-02-04 23:46:39,353 - INFO - Mean iou = 82.43% in epoch18
2025-02-04 23:46:39,353 - INFO - save the model in epoch18
Epoch 19/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:13<00:00,  1.93batch/s]
2025-02-04 23:47:52,478 - INFO - train_loss:1.186591754568384 in epoch19
2025-02-04 23:47:52,478 - INFO - train_acc:0.8772097991562593 in epoch19
2025-02-04 23:47:52,479 - INFO - Epoch 19: Learning Rate: [9.991679131176305e-05]
Epoch 19/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  1.89batch/s]
2025-02-04 23:47:57,252 - INFO - valid_loss:1.1932657957077026 in epoch19
2025-02-04 23:47:57,252 - INFO - valid_acc:0.9033028312640581 in epoch19
2025-02-04 23:47:57,252 - INFO - Mean iou = 83.01% in epoch19
2025-02-04 23:47:57,253 - INFO - save the model in epoch19
Epoch 20/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:12<00:00,  1.95batch/s]
2025-02-04 23:49:09,764 - INFO - train_loss:1.1866026913866083 in epoch20
2025-02-04 23:49:09,764 - INFO - train_acc:0.8774570363523047 in epoch20
2025-02-04 23:49:09,764 - INFO - Epoch 20: Learning Rate: [9.989727991055307e-05]
Epoch 20/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  1.89batch/s]
2025-02-04 23:49:14,526 - INFO - valid_loss:1.1932840877109103 in epoch20
2025-02-04 23:49:14,526 - INFO - valid_acc:0.9078084638877709 in epoch20
2025-02-04 23:49:14,527 - INFO - Mean iou = 83.73% in epoch20
2025-02-04 23:49:14,527 - INFO - save the model in epoch20
Epoch 21/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:13<00:00,  1.92batch/s]
2025-02-04 23:50:28,013 - INFO - train_loss:1.1862910174308938 in epoch21
2025-02-04 23:50:28,014 - INFO - train_acc:0.8783183617018585 in epoch21
2025-02-04 23:50:28,014 - INFO - Epoch 21: Learning Rate: [9.987571763313067e-05]
Epoch 21/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  1.96batch/s]
2025-02-04 23:50:32,617 - INFO - valid_loss:1.194061901834276 in epoch21
2025-02-04 23:50:32,618 - INFO - valid_acc:0.8982372364619358 in epoch21
2025-02-04 23:50:32,618 - INFO - Mean iou = 82.24% in epoch21
Epoch 22/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:13<00:00,  1.93batch/s]
2025-02-04 23:51:45,649 - INFO - train_loss:1.1860449221117277 in epoch22
2025-02-04 23:51:45,649 - INFO - train_acc:0.8808963181992727 in epoch22
2025-02-04 23:51:45,649 - INFO - Epoch 22: Learning Rate: [9.985210536583661e-05]
Epoch 22/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  2.04batch/s]
2025-02-04 23:51:50,056 - INFO - valid_loss:1.1941364738676283 in epoch22
2025-02-04 23:51:50,056 - INFO - valid_acc:0.8993332457017623 in epoch22
2025-02-04 23:51:50,056 - INFO - Mean iou = 82.46% in epoch22
Epoch 23/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:12<00:00,  1.94batch/s]
2025-02-04 23:53:02,595 - INFO - train_loss:1.1859555768628491 in epoch23
2025-02-04 23:53:02,595 - INFO - train_acc:0.8836442688408422 in epoch23
2025-02-04 23:53:02,595 - INFO - Epoch 23: Learning Rate: [9.982644407927872e-05]
Epoch 23/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  1.88batch/s]
2025-02-04 23:53:07,386 - INFO - valid_loss:1.1938730743196275 in epoch23
2025-02-04 23:53:07,386 - INFO - valid_acc:0.8877094155509242 in epoch23
2025-02-04 23:53:07,386 - INFO - Mean iou = 80.64% in epoch23
Epoch 24/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:13<00:00,  1.93batch/s]
2025-02-04 23:54:20,389 - INFO - train_loss:1.1857666106934244 in epoch24
2025-02-04 23:54:20,389 - INFO - train_acc:0.8865224193419038 in epoch24
2025-02-04 23:54:20,390 - INFO - Epoch 24: Learning Rate: [9.979873482829199e-05]
Epoch 24/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  2.00batch/s]
2025-02-04 23:54:24,893 - INFO - valid_loss:1.193101445833842 in epoch24
2025-02-04 23:54:24,893 - INFO - valid_acc:0.9029676899851277 in epoch24
2025-02-04 23:54:24,893 - INFO - Mean iou = 82.96% in epoch24
Epoch 25/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:12<00:00,  1.93batch/s]
2025-02-04 23:55:37,818 - INFO - train_loss:1.1860700566717919 in epoch25
2025-02-04 23:55:37,819 - INFO - train_acc:0.8840852082960023 in epoch25
2025-02-04 23:55:37,819 - INFO - Epoch 25: Learning Rate: [9.976897875189518e-05]
Epoch 25/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  2.03batch/s]
2025-02-04 23:55:42,261 - INFO - valid_loss:1.1935076183742948 in epoch25
2025-02-04 23:55:42,261 - INFO - valid_acc:0.9024425247960455 in epoch25
2025-02-04 23:55:42,261 - INFO - Mean iou = 82.92% in epoch25
Epoch 26/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:11<00:00,  1.98batch/s]
2025-02-04 23:56:53,563 - INFO - train_loss:1.1857157438359363 in epoch26
2025-02-04 23:56:53,564 - INFO - train_acc:0.8871353020925419 in epoch26
2025-02-04 23:56:53,564 - INFO - Epoch 26: Learning Rate: [9.973717707324405e-05]
Epoch 26/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  2.04batch/s]
2025-02-04 23:56:57,981 - INFO - valid_loss:1.1931421756744385 in epoch26
2025-02-04 23:56:57,981 - INFO - valid_acc:0.9010278962413629 in epoch26
2025-02-04 23:56:57,981 - INFO - Mean iou = 82.65% in epoch26
Epoch 27/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:12<00:00,  1.94batch/s]
2025-02-04 23:58:10,573 - INFO - train_loss:1.1855263600112698 in epoch27
2025-02-04 23:58:10,574 - INFO - train_acc:0.8899785773919304 in epoch27
2025-02-04 23:58:10,574 - INFO - Epoch 27: Learning Rate: [9.970333109958104e-05]
Epoch 27/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  1.95batch/s]
2025-02-04 23:58:15,187 - INFO - valid_loss:1.1930536561542087 in epoch27
2025-02-04 23:58:15,187 - INFO - valid_acc:0.90767707087967 in epoch27
2025-02-04 23:58:15,188 - INFO - Mean iou = 83.70% in epoch27
Epoch 28/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:13<00:00,  1.93batch/s]
2025-02-04 23:59:28,311 - INFO - train_loss:1.1854968637439376 in epoch28
2025-02-04 23:59:28,311 - INFO - train_acc:0.8896886973514609 in epoch28
2025-02-04 23:59:28,311 - INFO - Epoch 28: Learning Rate: [9.966744222218161e-05]
Epoch 28/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  2.04batch/s]
2025-02-04 23:59:32,726 - INFO - valid_loss:1.19346284866333 in epoch28
2025-02-04 23:59:32,726 - INFO - valid_acc:0.9000128970699749 in epoch28
2025-02-04 23:59:32,726 - INFO - Mean iou = 82.53% in epoch28
Epoch 29/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:13<00:00,  1.92batch/s]
2025-02-05 00:00:46,045 - INFO - train_loss:1.1854889545034855 in epoch29
2025-02-05 00:00:46,046 - INFO - train_acc:0.890359335619987 in epoch29
2025-02-05 00:00:46,046 - INFO - Epoch 29: Learning Rate: [9.962951191629689e-05]
Epoch 29/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  2.00batch/s]
2025-02-05 00:00:50,547 - INFO - valid_loss:1.1929300493664212 in epoch29
2025-02-05 00:00:50,547 - INFO - valid_acc:0.9062826608490779 in epoch29
2025-02-05 00:00:50,547 - INFO - Mean iou = 83.48% in epoch29
Epoch 30/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:12<00:00,  1.94batch/s]
2025-02-05 00:02:03,147 - INFO - train_loss:1.1852859951925616 in epoch30
2025-02-05 00:02:03,148 - INFO - train_acc:0.8935076770140719 in epoch30
2025-02-05 00:02:03,148 - INFO - Epoch 30: Learning Rate: [9.95895417410932e-05]
Epoch 30/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  2.18batch/s]
2025-02-05 00:02:07,269 - INFO - valid_loss:1.193254616525438 in epoch30
2025-02-05 00:02:07,269 - INFO - valid_acc:0.9025046315820384 in epoch30
2025-02-05 00:02:07,269 - INFO - Mean iou = 82.93% in epoch30
Epoch 31/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:10<00:00,  2.00batch/s]
2025-02-05 00:03:17,609 - INFO - train_loss:1.185167725204576 in epoch31
2025-02-05 00:03:17,609 - INFO - train_acc:0.8948464273978605 in epoch31
2025-02-05 00:03:17,609 - INFO - Epoch 31: Learning Rate: [9.954753333958791e-05]
Epoch 31/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  2.04batch/s]
2025-02-05 00:03:22,031 - INFO - valid_loss:1.1941274801890056 in epoch31
2025-02-05 00:03:22,032 - INFO - valid_acc:0.9077408519480057 in epoch31
2025-02-05 00:03:22,032 - INFO - Mean iou = 83.70% in epoch31
Epoch 32/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:11<00:00,  1.97batch/s]
2025-02-05 00:04:33,720 - INFO - train_loss:1.1852824451230097 in epoch32
2025-02-05 00:04:33,721 - INFO - train_acc:0.8946394967329656 in epoch32
2025-02-05 00:04:33,721 - INFO - Epoch 32: Learning Rate: [9.950348843858186e-05]
Epoch 32/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  2.08batch/s]
2025-02-05 00:04:38,041 - INFO - valid_loss:1.1931580437554254 in epoch32
2025-02-05 00:04:38,041 - INFO - valid_acc:0.9059100279467737 in epoch32
2025-02-05 00:04:38,042 - INFO - Mean iou = 83.45% in epoch32
Epoch 33/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:11<00:00,  1.97batch/s]
2025-02-05 00:05:49,440 - INFO - train_loss:1.1850657547619325 in epoch33
2025-02-05 00:05:49,440 - INFO - train_acc:0.8964411402389459 in epoch33
2025-02-05 00:05:49,440 - INFO - Epoch 33: Learning Rate: [9.94574088485884e-05]
Epoch 33/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  2.05batch/s]
2025-02-05 00:05:53,824 - INFO - valid_loss:1.19296575917138 in epoch33
2025-02-05 00:05:53,824 - INFO - valid_acc:0.9006436450122481 in epoch33
2025-02-05 00:05:53,824 - INFO - Mean iou = 82.62% in epoch33
Epoch 34/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:10<00:00,  1.99batch/s]
2025-02-05 00:07:04,791 - INFO - train_loss:1.1849916590021012 in epoch34
2025-02-05 00:07:04,792 - INFO - train_acc:0.8984721512802953 in epoch34
2025-02-05 00:07:04,792 - INFO - Epoch 34: Learning Rate: [9.940929646375904e-05]
Epoch 34/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  2.10batch/s]
2025-02-05 00:07:09,073 - INFO - valid_loss:1.1941987540986803 in epoch34
2025-02-05 00:07:09,073 - INFO - valid_acc:0.9018819223147196 in epoch34
2025-02-05 00:07:09,074 - INFO - Mean iou = 82.81% in epoch34
Epoch 35/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:11<00:00,  1.98batch/s]
2025-02-05 00:08:20,438 - INFO - train_loss:1.1851987441380818 in epoch35
2025-02-05 00:08:20,439 - INFO - train_acc:0.8935585762503999 in epoch35
2025-02-05 00:08:20,439 - INFO - Epoch 35: Learning Rate: [9.935915326180545e-05]
Epoch 35/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  2.16batch/s]
2025-02-05 00:08:24,602 - INFO - valid_loss:1.1932496362262301 in epoch35
2025-02-05 00:08:24,602 - INFO - valid_acc:0.9003485642138271 in epoch35
2025-02-05 00:08:24,602 - INFO - Mean iou = 82.59% in epoch35
Epoch 36/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:10<00:00,  1.99batch/s]
2025-02-05 00:09:35,387 - INFO - train_loss:1.1848601398738563 in epoch36
2025-02-05 00:09:35,387 - INFO - train_acc:0.8998694682069035 in epoch36
2025-02-05 00:09:35,387 - INFO - Epoch 36: Learning Rate: [9.930698130391824e-05]
Epoch 36/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  2.12batch/s]
2025-02-05 00:09:39,641 - INFO - valid_loss:1.193749229113261 in epoch36
2025-02-05 00:09:39,642 - INFO - valid_acc:0.9051253136686866 in epoch36
2025-02-05 00:09:39,642 - INFO - Mean iou = 83.31% in epoch36
Epoch 37/500 [Training]: 100%|███████████████████████████████████████| 141/141 [01:11<00:00,  1.98batch/s]
2025-02-05 00:10:50,930 - INFO - train_loss:1.1848597095367757 in epoch37
2025-02-05 00:10:50,931 - INFO - train_acc:0.9006057217877593 in epoch37
2025-02-05 00:10:50,931 - INFO - Epoch 37: Learning Rate: [9.925278273468229e-05]
Epoch 37/500 [Validation]: 100%|█████████████████████████████████████████| 9/9 [00:04<00:00,  2.19batch/s]
2025-02-05 00:10:55,049 - INFO - valid_loss:1.1931094593471951 in epoch37
2025-02-05 00:10:55,049 - INFO - valid_acc:0.9101434006450552 in epoch37
2025-02-05 00:10:55,049 - INFO - Mean iou = 84.10% in epoch37
2025-02-05 00:10:55,050 - INFO - save the model in epoch37
