2025-02-03 14:00:39,701 - INFO - Namespace(device='cuda:3', channel_weights=[1.0, 2.0, 1.0, 1.0], batch_size=6, num_classes=4, pretrained=False, pretrained_weights='./Synapse_weights_1u1d', lr=0.0001, epochs=500, warmup_epochs=10, dataset_mode='MnMs', max_channel=256, l2_norm=1e-07, patience=15, wandb=True, cache=True, log_dir='../../de_logistics/MnMs_3UNetlinear_02-03-14-00-38/', log_file_path='../../de_logistics/MnMs_3UNetlinear_02-03-14-00-38/training.log')
Epoch 1/500 [Training]: 100%|█████████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 14:10:10,772 - INFO - Epoch 4: Learning Rate: [5e-05]
Epoch 4/500 [Validation]: 100%|█████████████████████████████████| 12/12 [00:05<00:00,  2.31batch/s]
2025-02-03 14:10:15,965 - INFO - valid_loss:1.2019545535246532 in epoch4
2025-02-03 14:10:15,965 - INFO - valid_acc:0.8376629408306067 in epoch4
2025-02-03 14:10:15,966 - INFO - Mean iou = 73.68% in epoch4
2025-02-03 14:10:15,966 - INFO - save the model in epoch4
Epoch 5/500 [Training]: 100%|█████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 14:12:33,478 - INFO - train_loss:1.1930734756145072 in epoch5
2025-02-03 14:12:33,479 - INFO - train_acc:0.8181403157338092 in epoch5
2025-02-03 14:12:33,479 - INFO - Epoch 5: Learning Rate: [6e-05]
Epoch 5/500 [Validation]: 100%|█████████████████████████████████| 12/12 [00:05<00:00,  2.36batch/s]
2025-02-03 14:12:38,559 - INFO - valid_loss:1.198127160469691 in epoch5
2025-02-03 14:12:38,559 - INFO - valid_acc:0.8478849210676369 in epoch5
2025-02-03 14:12:38,559 - INFO - Mean iou = 74.91% in epoch5
2025-02-03 14:12:38,560 - INFO - save the model in epoch5
Epoch 6/500 [Training]: 100%|█████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 14:14:55,900 - INFO - train_loss:1.1913653485318447 in epoch6
2025-02-03 14:14:55,901 - INFO - train_acc:0.8305481012178841 in epoch6
2025-02-03 14:14:55,901 - INFO - Epoch 6: Learning Rate: [7e-05]
Epoch 6/500 [Validation]: 100%|█████████████████████████████████| 12/12 [00:05<00:00,  2.21batch/s]
2025-02-03 14:15:01,323 - INFO - valid_loss:1.196786989768346 in epoch6
2025-02-03 14:15:01,323 - INFO - valid_acc:0.8616014210404433 in epoch6
2025-02-03 14:15:01,323 - INFO - Mean iou = 76.79% in epoch6
2025-02-03 14:15:01,324 - INFO - save the model in epoch6
Epoch 7/500 [Training]: 100%|█████████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 14:17:18,260 - INFO - train_loss:1.190734328107631 in epoch7
2025-02-03 14:17:18,260 - INFO - train_acc:0.8351544943177031 in epoch7
2025-02-03 14:17:18,261 - INFO - Epoch 7: Learning Rate: [8e-05]
Epoch 7/500 [Validation]: 100%|█████████████████████████████████| 12/12 [00:04<00:00,  2.40batch/s]
2025-02-03 14:17:23,259 - INFO - valid_loss:1.1951082150141399 in epoch7
2025-02-03 14:17:23,259 - INFO - valid_acc:0.8661637190367882 in epoch7
2025-02-03 14:17:23,259 - INFO - Mean iou = 77.44% in epoch7
2025-02-03 14:17:23,260 - INFO - save the model in epoch7
Epoch 8/500 [Training]: 100%|█████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 14:19:40,751 - INFO - train_loss:1.1902102669502825 in epoch8
2025-02-03 14:19:40,751 - INFO - train_acc:0.8393952708339403 in epoch8
2025-02-03 14:19:40,752 - INFO - Epoch 8: Learning Rate: [9e-05]
Epoch 8/500 [Validation]: 100%|█████████████████████████████████| 12/12 [00:05<00:00,  2.29batch/s]
2025-02-03 14:19:46,002 - INFO - valid_loss:1.1967473427454631 in epoch8
2025-02-03 14:19:46,002 - INFO - valid_acc:0.8742995459925615 in epoch8
2025-02-03 14:19:46,003 - INFO - Mean iou = 78.75% in epoch8
2025-02-03 14:19:46,003 - INFO - save the model in epoch8
Epoch 9/500 [Training]: 100%|█████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 14:22:03,422 - INFO - train_loss:1.1893954682857433 in epoch9
2025-02-03 14:22:03,423 - INFO - train_acc:0.8487870733495627 in epoch9
2025-02-03 14:22:03,423 - INFO - Epoch 9: Learning Rate: [0.0001]
Epoch 9/500 [Validation]: 100%|█████████████████████████████████| 12/12 [00:05<00:00,  2.27batch/s]
2025-02-03 14:22:08,704 - INFO - valid_loss:1.1951010723908742 in epoch9
2025-02-03 14:22:08,705 - INFO - valid_acc:0.8868855218822072 in epoch9
2025-02-03 14:22:08,705 - INFO - Mean iou = 80.52% in epoch9
2025-02-03 14:22:08,706 - INFO - save the model in epoch9
Epoch 10/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 14:24:26,576 - INFO - train_loss:1.1894714198213943 in epoch10
2025-02-03 14:24:26,576 - INFO - train_acc:0.8491883523444002 in epoch10
2025-02-03 14:24:26,576 - INFO - Epoch 10: Learning Rate: [0.0001]
Epoch 10/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.29batch/s]
2025-02-03 14:24:31,810 - INFO - valid_loss:1.1943220992883046 in epoch10
2025-02-03 14:24:31,811 - INFO - valid_acc:0.8959044711508096 in epoch10
2025-02-03 14:24:31,811 - INFO - Mean iou = 81.90% in epoch10
2025-02-03 14:24:31,812 - INFO - save the model in epoch10
Epoch 11/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 14:26:49,063 - INFO - train_loss:1.1883553780139762 in epoch11
2025-02-03 14:26:49,063 - INFO - train_acc:0.857442522624443 in epoch11
2025-02-03 14:26:49,063 - INFO - Epoch 11: Learning Rate: [9.999897245068351e-05]
Epoch 11/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.33batch/s]
2025-02-03 14:26:54,208 - INFO - valid_loss:1.1965599556763966 in epoch11
2025-02-03 14:26:54,208 - INFO - valid_acc:0.8869704937746484 in epoch11
2025-02-03 14:26:54,208 - INFO - Mean iou = 80.59% in epoch11
Epoch 12/500 [Training]: 100%|████████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 14:29:11,133 - INFO - train_loss:1.1882338961388201 in epoch12
2025-02-03 14:29:11,133 - INFO - train_acc:0.8602578540499985 in epoch12
2025-02-03 14:29:11,134 - INFO - Epoch 12: Learning Rate: [9.999588984497258e-05]
Epoch 12/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.24batch/s]
2025-02-03 14:29:16,491 - INFO - valid_loss:1.1947099566459656 in epoch12
2025-02-03 14:29:16,492 - INFO - valid_acc:0.9029534140635036 in epoch12
2025-02-03 14:29:16,492 - INFO - Mean iou = 82.96% in epoch12
2025-02-03 14:29:16,492 - INFO - save the model in epoch12
Epoch 13/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 14:31:34,033 - INFO - train_loss:1.1878681918408007 in epoch13
2025-02-03 14:31:34,034 - INFO - train_acc:0.8629233814595337 in epoch13
2025-02-03 14:31:34,034 - INFO - Epoch 13: Learning Rate: [9.999075230958104e-05]
Epoch 13/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.24batch/s]
2025-02-03 14:31:39,387 - INFO - valid_loss:1.1942009429136913 in epoch13
2025-02-03 14:31:39,387 - INFO - valid_acc:0.8990200614921098 in epoch13
2025-02-03 14:31:39,387 - INFO - Mean iou = 82.36% in epoch13
Epoch 14/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 14:33:56,526 - INFO - train_loss:1.1873689427020702 in epoch14
2025-02-03 14:33:56,527 - INFO - train_acc:0.8674970540118384 in epoch14
2025-02-03 14:33:56,527 - INFO - Epoch 14: Learning Rate: [9.998356005569284e-05]
Epoch 14/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.27batch/s]
2025-02-03 14:34:01,807 - INFO - valid_loss:1.1949339906374614 in epoch14
2025-02-03 14:34:01,807 - INFO - valid_acc:0.8957231722651123 in epoch14
2025-02-03 14:34:01,807 - INFO - Mean iou = 81.87% in epoch14
Epoch 15/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.36batch/s]
2025-02-03 14:36:19,634 - INFO - train_loss:1.1873297913277403 in epoch15
2025-02-03 14:36:19,635 - INFO - train_acc:0.8699996483089111 in epoch15
2025-02-03 14:36:19,635 - INFO - Epoch 15: Learning Rate: [9.99743133789534e-05]
Epoch 15/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.24batch/s]
2025-02-03 14:36:25,003 - INFO - valid_loss:1.1940010885397594 in epoch15
2025-02-03 14:36:25,003 - INFO - valid_acc:0.8790890797738689 in epoch15
2025-02-03 14:36:25,003 - INFO - Mean iou = 79.31% in epoch15
Epoch 16/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.36batch/s]
2025-02-03 14:38:42,860 - INFO - train_loss:1.186975711837728 in epoch16
2025-02-03 14:38:42,861 - INFO - train_acc:0.8736595437399267 in epoch16
2025-02-03 14:38:42,861 - INFO - Epoch 16: Learning Rate: [9.996301265945735e-05]
Epoch 16/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.27batch/s]
2025-02-03 14:38:48,154 - INFO - valid_loss:1.1932795345783234 in epoch16
2025-02-03 14:38:48,154 - INFO - valid_acc:0.8943484334068463 in epoch16
2025-02-03 14:38:48,154 - INFO - Mean iou = 81.67% in epoch16
Epoch 17/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 14:41:05,777 - INFO - train_loss:1.1869326703091885 in epoch17
2025-02-03 14:41:05,778 - INFO - train_acc:0.8752142947986535 in epoch17
2025-02-03 14:41:05,778 - INFO - Epoch 17: Learning Rate: [9.994965836173304e-05]
Epoch 17/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.35batch/s]
2025-02-03 14:41:10,889 - INFO - valid_loss:1.1928671499093373 in epoch17
2025-02-03 14:41:10,890 - INFO - valid_acc:0.8961248913542854 in epoch17
2025-02-03 14:41:10,890 - INFO - Mean iou = 81.95% in epoch17
Epoch 18/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 14:43:28,489 - INFO - train_loss:1.1864907253295818 in epoch18
2025-02-03 14:43:28,490 - INFO - train_acc:0.8764976599475001 in epoch18
2025-02-03 14:43:28,490 - INFO - Epoch 18: Learning Rate: [9.99342510347233e-05]
Epoch 18/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.25batch/s]
2025-02-03 14:43:33,825 - INFO - valid_loss:1.1934641897678375 in epoch18
2025-02-03 14:43:33,826 - INFO - valid_acc:0.9044346960644633 in epoch18
2025-02-03 14:43:33,826 - INFO - Mean iou = 83.21% in epoch18
2025-02-03 14:43:33,827 - INFO - save the model in epoch18
Epoch 19/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.36batch/s]
2025-02-03 14:45:51,791 - INFO - train_loss:1.1864541699277593 in epoch19
2025-02-03 14:45:51,792 - INFO - train_acc:0.8781494579821726 in epoch19
2025-02-03 14:45:51,792 - INFO - Epoch 19: Learning Rate: [9.991679131176305e-05]
Epoch 19/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.33batch/s]
2025-02-03 14:45:56,951 - INFO - valid_loss:1.1939589579900105 in epoch19
2025-02-03 14:45:56,952 - INFO - valid_acc:0.9052393457564308 in epoch19
2025-02-03 14:45:56,952 - INFO - Mean iou = 83.32% in epoch19
2025-02-03 14:45:56,953 - INFO - save the model in epoch19
Epoch 20/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 14:48:14,576 - INFO - train_loss:1.1863120191908898 in epoch20
2025-02-03 14:48:14,576 - INFO - train_acc:0.8813571487327637 in epoch20
2025-02-03 14:48:14,576 - INFO - Epoch 20: Learning Rate: [9.989727991055307e-05]
Epoch 20/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.26batch/s]
2025-02-03 14:48:19,878 - INFO - valid_loss:1.1937394042809804 in epoch20
2025-02-03 14:48:19,879 - INFO - valid_acc:0.9092852556016496 in epoch20
2025-02-03 14:48:19,879 - INFO - Mean iou = 83.98% in epoch20
2025-02-03 14:48:19,880 - INFO - save the model in epoch20
Epoch 21/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 14:50:37,685 - INFO - train_loss:1.1863015452598005 in epoch21
2025-02-03 14:50:37,686 - INFO - train_acc:0.8803061967029652 in epoch21
2025-02-03 14:50:37,686 - INFO - Epoch 21: Learning Rate: [9.987571763313067e-05]
Epoch 21/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.27batch/s]
2025-02-03 14:50:42,971 - INFO - valid_loss:1.1926987965901692 in epoch21
2025-02-03 14:50:42,971 - INFO - valid_acc:0.9065400209961494 in epoch21
2025-02-03 14:50:42,971 - INFO - Mean iou = 83.53% in epoch21
Epoch 22/500 [Training]: 100%|████████████████████████████████| 188/188 [02:13<00:00,  1.41batch/s]
2025-02-03 14:52:56,397 - INFO - train_loss:1.1861368328966992 in epoch22
2025-02-03 14:52:56,398 - INFO - train_acc:0.8842426474874661 in epoch22
2025-02-03 14:52:56,398 - INFO - Epoch 22: Learning Rate: [9.985210536583661e-05]
Epoch 22/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.24batch/s]
2025-02-03 14:53:01,752 - INFO - valid_loss:1.1935380895932515 in epoch22
2025-02-03 14:53:01,753 - INFO - valid_acc:0.904778633256505 in epoch22
2025-02-03 14:53:01,753 - INFO - Mean iou = 83.26% in epoch22
Epoch 23/500 [Training]: 100%|████████████████████████████████| 188/188 [02:18<00:00,  1.36batch/s]
2025-02-03 14:55:19,915 - INFO - train_loss:1.185859202070439 in epoch23
2025-02-03 14:55:19,916 - INFO - train_acc:0.8849101863246632 in epoch23
2025-02-03 14:55:19,916 - INFO - Epoch 23: Learning Rate: [9.982644407927872e-05]
Epoch 23/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.26batch/s]
2025-02-03 14:55:25,219 - INFO - valid_loss:1.192861537138621 in epoch23
2025-02-03 14:55:25,220 - INFO - valid_acc:0.9032359162660245 in epoch23
2025-02-03 14:55:25,220 - INFO - Mean iou = 83.03% in epoch23
Epoch 24/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.36batch/s]
2025-02-03 14:57:42,968 - INFO - train_loss:1.1859190108928275 in epoch24
2025-02-03 14:57:42,968 - INFO - train_acc:0.8854504667785865 in epoch24
2025-02-03 14:57:42,968 - INFO - Epoch 24: Learning Rate: [9.979873482829199e-05]
Epoch 24/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.28batch/s]
2025-02-03 14:57:48,225 - INFO - valid_loss:1.1928393244743347 in epoch24
2025-02-03 14:57:48,226 - INFO - valid_acc:0.9107435225234566 in epoch24
2025-02-03 14:57:48,226 - INFO - Mean iou = 84.19% in epoch24
2025-02-03 14:57:48,226 - INFO - save the model in epoch24
Epoch 25/500 [Training]: 100%|████████████████████████████████| 188/188 [02:12<00:00,  1.42batch/s]
2025-02-03 15:00:00,581 - INFO - train_loss:1.1857234816601936 in epoch25
2025-02-03 15:00:00,582 - INFO - train_acc:0.8896590968420061 in epoch25
2025-02-03 15:00:00,582 - INFO - Epoch 25: Learning Rate: [9.976897875189518e-05]
Epoch 25/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.28batch/s]
2025-02-03 15:00:05,856 - INFO - valid_loss:1.1938852667808533 in epoch25
2025-02-03 15:00:05,857 - INFO - valid_acc:0.9042839930911276 in epoch25
2025-02-03 15:00:05,857 - INFO - Mean iou = 83.19% in epoch25
Epoch 26/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.36batch/s]
2025-02-03 15:02:23,752 - INFO - train_loss:1.1857963584839029 in epoch26
2025-02-03 15:02:23,753 - INFO - train_acc:0.8896449673074224 in epoch26
2025-02-03 15:02:23,753 - INFO - Epoch 26: Learning Rate: [9.973717707324405e-05]
Epoch 26/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.15batch/s]
2025-02-03 15:02:29,334 - INFO - valid_loss:1.1926364799340565 in epoch26
2025-02-03 15:02:29,334 - INFO - valid_acc:0.9050507339909283 in epoch26
2025-02-03 15:02:29,334 - INFO - Mean iou = 83.31% in epoch26
Epoch 27/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 15:04:46,782 - INFO - train_loss:1.1855722665786743 in epoch27
2025-02-03 15:04:46,782 - INFO - train_acc:0.8909389611355232 in epoch27
2025-02-03 15:04:46,783 - INFO - Epoch 27: Learning Rate: [9.970333109958104e-05]
Epoch 27/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.31batch/s]
2025-02-03 15:04:51,988 - INFO - valid_loss:1.1930851538976033 in epoch27
2025-02-03 15:04:51,989 - INFO - valid_acc:0.903339803940661 in epoch27
2025-02-03 15:04:51,989 - INFO - Mean iou = 83.04% in epoch27
Epoch 28/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 15:07:09,580 - INFO - train_loss:1.1855231707400464 in epoch28
2025-02-03 15:07:09,581 - INFO - train_acc:0.8915176188267709 in epoch28
2025-02-03 15:07:09,581 - INFO - Epoch 28: Learning Rate: [9.966744222218161e-05]
Epoch 28/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.32batch/s]
2025-02-03 15:07:14,759 - INFO - valid_loss:1.192721297343572 in epoch28
2025-02-03 15:07:14,759 - INFO - valid_acc:0.9037946787886538 in epoch28
2025-02-03 15:07:14,760 - INFO - Mean iou = 83.13% in epoch28
Epoch 29/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 15:09:32,385 - INFO - train_loss:1.1854182418356551 in epoch29
2025-02-03 15:09:32,386 - INFO - train_acc:0.8924069913357328 in epoch29
2025-02-03 15:09:32,386 - INFO - Epoch 29: Learning Rate: [9.962951191629689e-05]
Epoch 29/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.30batch/s]
2025-02-03 15:09:37,605 - INFO - valid_loss:1.1929078201452892 in epoch29
2025-02-03 15:09:37,606 - INFO - valid_acc:0.9094020379802759 in epoch29
2025-02-03 15:09:37,606 - INFO - Mean iou = 83.97% in epoch29
Epoch 30/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 15:11:55,133 - INFO - train_loss:1.1855626011148412 in epoch30
2025-02-03 15:11:55,134 - INFO - train_acc:0.8928568354992276 in epoch30
2025-02-03 15:11:55,134 - INFO - Epoch 30: Learning Rate: [9.95895417410932e-05]
Epoch 30/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.27batch/s]
2025-02-03 15:12:00,413 - INFO - valid_loss:1.1930560767650604 in epoch30
2025-02-03 15:12:00,413 - INFO - valid_acc:0.9128132780544148 in epoch30
2025-02-03 15:12:00,413 - INFO - Mean iou = 84.51% in epoch30
2025-02-03 15:12:00,414 - INFO - save the model in epoch30
Epoch 31/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 15:14:17,819 - INFO - train_loss:1.185327319388694 in epoch31
2025-02-03 15:14:17,820 - INFO - train_acc:0.8956603394263492 in epoch31
2025-02-03 15:14:17,820 - INFO - Epoch 31: Learning Rate: [9.954753333958791e-05]
Epoch 31/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.26batch/s]
2025-02-03 15:14:23,134 - INFO - valid_loss:1.192505677541097 in epoch31
2025-02-03 15:14:23,135 - INFO - valid_acc:0.9047193146090597 in epoch31
2025-02-03 15:14:23,135 - INFO - Mean iou = 83.23% in epoch31
Epoch 32/500 [Training]: 100%|████████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 15:16:40,125 - INFO - train_loss:1.1852897164669443 in epoch32
2025-02-03 15:16:40,125 - INFO - train_acc:0.8953703173817058 in epoch32
2025-02-03 15:16:40,125 - INFO - Epoch 32: Learning Rate: [9.950348843858186e-05]
Epoch 32/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.27batch/s]
2025-02-03 15:16:45,411 - INFO - valid_loss:1.1922155519326527 in epoch32
2025-02-03 15:16:45,411 - INFO - valid_acc:0.90866713189292 in epoch32
2025-02-03 15:16:45,411 - INFO - Mean iou = 83.88% in epoch32
Epoch 33/500 [Training]: 100%|████████████████████████████████| 188/188 [02:16<00:00,  1.37batch/s]
2025-02-03 15:19:02,277 - INFO - train_loss:1.1851862193422114 in epoch33
2025-02-03 15:19:02,278 - INFO - train_acc:0.8972749303895092 in epoch33
2025-02-03 15:19:02,278 - INFO - Epoch 33: Learning Rate: [9.94574088485884e-05]
Epoch 33/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.28batch/s]
2025-02-03 15:19:07,545 - INFO - valid_loss:1.1936855912208557 in epoch33
2025-02-03 15:19:07,545 - INFO - valid_acc:0.9121322285919197 in epoch33
2025-02-03 15:19:07,545 - INFO - Mean iou = 84.41% in epoch33
Epoch 34/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 15:21:25,019 - INFO - train_loss:1.1848183870315552 in epoch34
2025-02-03 15:21:25,020 - INFO - train_acc:0.8989065293628543 in epoch34
2025-02-03 15:21:25,020 - INFO - Epoch 34: Learning Rate: [9.940929646375904e-05]
Epoch 34/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.22batch/s]
2025-02-03 15:21:30,424 - INFO - valid_loss:1.1931278308232625 in epoch34
2025-02-03 15:21:30,424 - INFO - valid_acc:0.9116043283001366 in epoch34
2025-02-03 15:21:30,424 - INFO - Mean iou = 84.36% in epoch34
Epoch 35/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.37batch/s]
2025-02-03 15:23:47,584 - INFO - train_loss:1.1850456982216937 in epoch35
2025-02-03 15:23:47,584 - INFO - train_acc:0.8981617722896685 in epoch35
2025-02-03 15:23:47,585 - INFO - Epoch 35: Learning Rate: [9.935915326180545e-05]
Epoch 35/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.31batch/s]
2025-02-03 15:23:52,772 - INFO - valid_loss:1.1930223206679027 in epoch35
2025-02-03 15:23:52,772 - INFO - valid_acc:0.9088615076460029 in epoch35
2025-02-03 15:23:52,772 - INFO - Mean iou = 83.92% in epoch35
Epoch 36/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.36batch/s]
2025-02-03 15:26:10,689 - INFO - train_loss:1.1849971629203635 in epoch36
2025-02-03 15:26:10,690 - INFO - train_acc:0.8978143653486399 in epoch36
2025-02-03 15:26:10,690 - INFO - Epoch 36: Learning Rate: [9.930698130391824e-05]
Epoch 36/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.29batch/s]
2025-02-03 15:26:15,933 - INFO - valid_loss:1.193154623111089 in epoch36
2025-02-03 15:26:15,933 - INFO - valid_acc:0.9113043820497161 in epoch36
2025-02-03 15:26:15,933 - INFO - Mean iou = 84.28% in epoch36
Epoch 37/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.36batch/s]
2025-02-03 15:28:33,931 - INFO - train_loss:1.1849568784236908 in epoch37
2025-02-03 15:28:33,932 - INFO - train_acc:0.898408611064 in epoch37
2025-02-03 15:28:33,932 - INFO - Epoch 37: Learning Rate: [9.925278273468229e-05]
Epoch 37/500 [Validation]: 100%|████████████████████████████████| 12/12 [00:05<00:00,  2.30batch/s]
2025-02-03 15:28:39,160 - INFO - valid_loss:1.192130486170451 in epoch37
2025-02-03 15:28:39,160 - INFO - valid_acc:0.911630217400042 in epoch37
2025-02-03 15:28:39,161 - INFO - Mean iou = 84.34% in epoch37
Epoch 38/500 [Training]: 100%|████████████████████████████████| 188/188 [02:17<00:00,  1.36batch/s]
2025-02-03 15:30:56,908 - INFO - train_loss:1.184900274936189 in epoch38
2025-02-03 15:30:56,909 - INFO - train_acc:0.8987163701708794 in epoch38
