2025-02-02 17:38:53,627 - INFO - Namespace(device='cuda:4', channel_weights=[1.0, 2.0, 1.0, 1.0], batch_size=6, num_classes=4, pretrained=False, pretrained_weights='./Synapse_weights_1u1d', lr=0.0001, epochs=500, warmup_epochs=10, dataset_mode='ACDC', max_channel=256, l2_norm=1e-07, patience=15, aug=False, wandb=True, cache=True, log_dir='../../de_logistics/ACDC_3UNetlinear_02-02-17-38-52/', log_file_path='../../de_logistics/ACDC_3UNetlinear_02-02-17-38-52/training.log')
Epoch 1/500 [Training]: 100%|██████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.57batch/s]
Epoch 29/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.59batch/s]
2025-02-02 18:12:38,196 - INFO - train_loss:1.1556360852718353 in epoch29
2025-02-02 18:12:38,196 - INFO - train_acc:0.9360938381468954 in epoch29
2025-02-02 18:12:38,197 - INFO - Epoch 29: Learning Rate: [9.962951191629689e-05]
Epoch 29/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.52batch/s]
2025-02-02 18:12:44,949 - INFO - valid_loss:1.1511927422355204 in epoch29
2025-02-02 18:12:44,950 - INFO - valid_acc:0.9312735369925749 in epoch29
2025-02-02 18:12:44,950 - INFO - Mean iou = 87.55% in epoch29
Epoch 30/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.59batch/s]
2025-02-02 18:13:48,032 - INFO - train_loss:1.1560374319553375 in epoch30
2025-02-02 18:13:48,032 - INFO - train_acc:0.9342482865785672 in epoch30
2025-02-02 18:13:48,033 - INFO - Epoch 30: Learning Rate: [9.95895417410932e-05]
Epoch 30/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.63batch/s]
2025-02-02 18:13:54,500 - INFO - valid_loss:1.1500670909881592 in epoch30
2025-02-02 18:13:54,501 - INFO - valid_acc:0.93319893277216 in epoch30
2025-02-02 18:13:54,501 - INFO - Mean iou = 87.84% in epoch30
Epoch 31/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.57batch/s]
2025-02-02 18:14:58,139 - INFO - train_loss:1.1557647800445556 in epoch31
2025-02-02 18:14:58,139 - INFO - train_acc:0.9361125435627787 in epoch31
2025-02-02 18:14:58,139 - INFO - Epoch 31: Learning Rate: [9.954753333958791e-05]
Epoch 31/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.56batch/s]
2025-02-02 18:15:04,786 - INFO - valid_loss:1.1504664421081543 in epoch31
2025-02-02 18:15:04,787 - INFO - valid_acc:0.9359614803849718 in epoch31
2025-02-02 18:15:04,787 - INFO - Mean iou = 88.33% in epoch31
2025-02-02 18:15:04,788 - INFO - save the model in epoch31
Epoch 32/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [03:13<00:00,  1.94s/batch]
2025-02-02 18:18:18,805 - INFO - train_loss:1.1555594193935395 in epoch32
2025-02-02 18:18:18,805 - INFO - train_acc:0.9378685705771048 in epoch32
2025-02-02 18:18:18,805 - INFO - Epoch 32: Learning Rate: [9.950348843858186e-05]
Epoch 32/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.60batch/s]
2025-02-02 18:18:25,334 - INFO - valid_loss:1.1507634345222921 in epoch32
2025-02-02 18:18:25,335 - INFO - valid_acc:0.9326829930366517 in epoch32
2025-02-02 18:18:25,335 - INFO - Mean iou = 87.76% in epoch32
Epoch 33/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:02<00:00,  1.60batch/s]
2025-02-02 18:19:27,891 - INFO - train_loss:1.1555684328079223 in epoch33
2025-02-02 18:19:27,892 - INFO - train_acc:0.9380483524945481 in epoch33
2025-02-02 18:19:27,892 - INFO - Epoch 33: Learning Rate: [9.94574088485884e-05]
Epoch 33/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.68batch/s]
2025-02-02 18:19:34,235 - INFO - valid_loss:1.1496999123517204 in epoch33
2025-02-02 18:19:34,235 - INFO - valid_acc:0.9323323081100007 in epoch33
2025-02-02 18:19:34,236 - INFO - Mean iou = 87.72% in epoch33
Epoch 34/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:02<00:00,  1.60batch/s]
2025-02-02 18:20:36,751 - INFO - train_loss:1.155336037874222 in epoch34
2025-02-02 18:20:36,752 - INFO - train_acc:0.9381958451063216 in epoch34
2025-02-02 18:20:36,752 - INFO - Epoch 34: Learning Rate: [9.940929646375904e-05]
Epoch 34/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.53batch/s]
2025-02-02 18:20:43,466 - INFO - valid_loss:1.1500902246026432 in epoch34
2025-02-02 18:20:43,466 - INFO - valid_acc:0.9353049022622204 in epoch34
2025-02-02 18:20:43,467 - INFO - Mean iou = 88.21% in epoch34
Epoch 35/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:02<00:00,  1.59batch/s]
2025-02-02 18:21:46,423 - INFO - train_loss:1.1554498147964478 in epoch35
2025-02-02 18:21:46,424 - INFO - train_acc:0.9379020312714895 in epoch35
2025-02-02 18:21:46,424 - INFO - Epoch 35: Learning Rate: [9.935915326180545e-05]
Epoch 35/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 17/17 [00:06<00:00,  2.50batch/s]
2025-02-02 18:21:53,219 - INFO - valid_loss:1.150427404571982 in epoch35
2025-02-02 18:21:53,220 - INFO - valid_acc:0.9339525173644541 in epoch35
2025-02-02 18:21:53,220 - INFO - Mean iou = 88.00% in epoch35
Epoch 36/500 [Training]: 100%|█████████████████████████████████████████████████████████████████| 100/100 [01:03<00:00,  1.57batch/s]
2025-02-02 18:22:56,899 - INFO - train_loss:1.1552794122695922 in epoch36
2025-02-02 18:22:56,900 - INFO - train_acc:0.9403027161437885 in epoch36
