2025-01-26 01:45:27,643 - INFO - Namespace(device='cuda:1', channel_weights=[1.0, 2.0, 1.0, 1.0], batch_size=8, num_classes=4, pretrained=False, pretrained_weights='./Synapse_weights_1u1d', lr=0.0001, epochs=1000, warmup_epochs=10, dataset_mode='ACDC', max_channel=256, l2_norm=1e-07, patience=15, aug=False, wandb=True, cache=True, log_dir='../../de_logistics/ACDC_1UNetlinear_1DeepLabV3Plinear_01-26-01-45-26/', log_file_path='../../de_logistics/ACDC_1UNetlinear_1DeepLabV3Plinear_01-26-01-45-26/training.log')
Epoch 1/1000 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:44<00:00,  1.69batch/s]
2025-01-26 01:48:26,079 - INFO - valid_loss:1.152235840496264 in epoch3
2025-01-26 01:48:26,079 - INFO - valid_acc:0.671376863781775 in epoch3
2025-01-26 01:48:26,079 - INFO - Mean iou = 54.82% in epoch3
2025-01-26 01:48:26,080 - INFO - save the model in epoch3
Epoch 4/1000 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:43<00:00,  1.72batch/s]
2025-01-26 01:49:09,912 - INFO - train_loss:1.1406701278686524 in epoch4
2025-01-26 01:49:09,913 - INFO - train_acc:0.7163945033702612 in epoch4
2025-01-26 01:49:09,913 - INFO - Epoch 4: Learning Rate: [5e-05]
Epoch 4/1000 [Validation]: 100%|████████████████████████████████████████████████████████████████| 38/38 [00:14<00:00,  2.56batch/s]
2025-01-26 01:49:24,747 - INFO - valid_loss:1.1417384367240102 in epoch4
2025-01-26 01:49:24,748 - INFO - valid_acc:0.6243505810050634 in epoch4
2025-01-26 01:49:24,748 - INFO - Mean iou = 50.22% in epoch4
Epoch 5/1000 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:42<00:00,  1.76batch/s]
2025-01-26 01:50:07,472 - INFO - train_loss:1.1305481863021851 in epoch5
2025-01-26 01:50:07,474 - INFO - train_acc:0.7550723102939916 in epoch5
2025-01-26 01:50:07,474 - INFO - Epoch 5: Learning Rate: [6e-05]
Epoch 5/1000 [Validation]: 100%|████████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.50batch/s]
2025-01-26 01:50:22,698 - INFO - valid_loss:1.1324836454893414 in epoch5
2025-01-26 01:50:22,698 - INFO - valid_acc:0.7240022286884722 in epoch5
2025-01-26 01:50:22,698 - INFO - Mean iou = 60.21% in epoch5
2025-01-26 01:50:22,699 - INFO - save the model in epoch5
Epoch 6/1000 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:43<00:00,  1.74batch/s]
2025-01-26 01:51:06,050 - INFO - train_loss:1.1240349022547405 in epoch6
2025-01-26 01:51:06,051 - INFO - train_acc:0.7898105820759566 in epoch6
2025-01-26 01:51:06,051 - INFO - Epoch 6: Learning Rate: [7e-05]
Epoch 6/1000 [Validation]: 100%|████████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.45batch/s]
2025-01-26 01:51:21,568 - INFO - valid_loss:1.1256735199376156 in epoch6
2025-01-26 01:51:21,568 - INFO - valid_acc:0.7691225083242058 in epoch6
2025-01-26 01:51:21,569 - INFO - Mean iou = 65.18% in epoch6
2025-01-26 01:51:21,570 - INFO - save the model in epoch6
Epoch 7/1000 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:43<00:00,  1.73batch/s]
2025-01-26 01:52:04,974 - INFO - train_loss:1.1201259342829386 in epoch7
2025-01-26 01:52:04,975 - INFO - train_acc:0.813288833549827 in epoch7
2025-01-26 01:52:04,975 - INFO - Epoch 7: Learning Rate: [8e-05]
Epoch 7/1000 [Validation]: 100%|████████████████████████████████████████████████████████████████| 38/38 [00:14<00:00,  2.60batch/s]
2025-01-26 01:52:19,601 - INFO - valid_loss:1.124473185915696 in epoch7
2025-01-26 01:52:19,601 - INFO - valid_acc:0.7593524396799728 in epoch7
2025-01-26 01:52:19,602 - INFO - Mean iou = 64.12% in epoch7
Epoch 8/1000 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:42<00:00,  1.76batch/s]
2025-01-26 01:53:02,267 - INFO - train_loss:1.1180649773279825 in epoch8
2025-01-26 01:53:02,269 - INFO - train_acc:0.8252628487726297 in epoch8
2025-01-26 01:53:02,269 - INFO - Epoch 8: Learning Rate: [9e-05]
Epoch 8/1000 [Validation]: 100%|████████████████████████████████████████████████████████████████| 38/38 [00:14<00:00,  2.57batch/s]
2025-01-26 01:53:17,041 - INFO - valid_loss:1.121016894516192 in epoch8
2025-01-26 01:53:17,041 - INFO - valid_acc:0.7914340411357469 in epoch8
2025-01-26 01:53:17,042 - INFO - Mean iou = 67.73% in epoch8
2025-01-26 01:53:17,042 - INFO - save the model in epoch8
Epoch 9/1000 [Training]: 100%|██████████████████████████████████████████████████████████████████| 75/75 [00:43<00:00,  1.72batch/s]
2025-01-26 01:54:00,810 - INFO - train_loss:1.1159692684809366 in epoch9
2025-01-26 01:54:00,811 - INFO - train_acc:0.8364197482654279 in epoch9
2025-01-26 01:54:00,812 - INFO - Epoch 9: Learning Rate: [0.0001]
Epoch 9/1000 [Validation]: 100%|████████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.48batch/s]
2025-01-26 01:54:16,159 - INFO - valid_loss:1.120069488098747 in epoch9
2025-01-26 01:54:16,160 - INFO - valid_acc:0.8070580067790024 in epoch9
2025-01-26 01:54:16,160 - INFO - Mean iou = 69.55% in epoch9
2025-01-26 01:54:16,161 - INFO - save the model in epoch9
Epoch 10/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:42<00:00,  1.75batch/s]
2025-01-26 01:54:59,260 - INFO - train_loss:1.1144043763478597 in epoch10
2025-01-26 01:54:59,261 - INFO - train_acc:0.846867785487652 in epoch10
2025-01-26 01:54:59,261 - INFO - Epoch 10: Learning Rate: [0.0001]
Epoch 10/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.52batch/s]
2025-01-26 01:55:14,334 - INFO - valid_loss:1.1183381770786487 in epoch10
2025-01-26 01:55:14,334 - INFO - valid_acc:0.8237573841022151 in epoch10
2025-01-26 01:55:14,335 - INFO - Mean iou = 71.83% in epoch10
2025-01-26 01:55:14,335 - INFO - save the model in epoch10
Epoch 11/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:43<00:00,  1.73batch/s]
2025-01-26 01:55:57,813 - INFO - train_loss:1.112826566696167 in epoch11
2025-01-26 01:55:57,814 - INFO - train_acc:0.8582750082972848 in epoch11
2025-01-26 01:55:57,814 - INFO - Epoch 11: Learning Rate: [9.999974827545253e-05]
Epoch 11/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.48batch/s]
2025-01-26 01:56:13,149 - INFO - valid_loss:1.1180016021979482 in epoch11
2025-01-26 01:56:13,150 - INFO - valid_acc:0.8339343258720262 in epoch11
2025-01-26 01:56:13,150 - INFO - Mean iou = 73.26% in epoch11
2025-01-26 01:56:13,151 - INFO - save the model in epoch11
Epoch 12/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:42<00:00,  1.76batch/s]
2025-01-26 01:56:55,969 - INFO - train_loss:1.1117594639460247 in epoch12
2025-01-26 01:56:55,970 - INFO - train_acc:0.8632023230937347 in epoch12
2025-01-26 01:56:55,970 - INFO - Epoch 12: Learning Rate: [9.999899310434496e-05]
Epoch 12/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:14<00:00,  2.55batch/s]
2025-01-26 01:57:10,881 - INFO - valid_loss:1.1158387315900702 in epoch12
2025-01-26 01:57:10,881 - INFO - valid_acc:0.8338627099431984 in epoch12
2025-01-26 01:57:10,881 - INFO - Mean iou = 73.12% in epoch12
Epoch 13/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:43<00:00,  1.74batch/s]
2025-01-26 01:57:53,903 - INFO - train_loss:1.1107074785232545 in epoch13
2025-01-26 01:57:53,904 - INFO - train_acc:0.8689751354652537 in epoch13
2025-01-26 01:57:53,904 - INFO - Epoch 13: Learning Rate: [9.999773449428187e-05]
Epoch 13/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.47batch/s]
2025-01-26 01:58:09,269 - INFO - valid_loss:1.1144814742238898 in epoch13
2025-01-26 01:58:09,269 - INFO - valid_acc:0.8431117905495787 in epoch13
2025-01-26 01:58:09,269 - INFO - Mean iou = 74.39% in epoch13
2025-01-26 01:58:09,270 - INFO - save the model in epoch13
Epoch 14/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:43<00:00,  1.74batch/s]
2025-01-26 01:58:52,625 - INFO - train_loss:1.109439024925232 in epoch14
2025-01-26 01:58:52,626 - INFO - train_acc:0.8801100738398795 in epoch14
2025-01-26 01:58:52,626 - INFO - Epoch 14: Learning Rate: [9.999597245793745e-05]
Epoch 14/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.50batch/s]
2025-01-26 01:59:07,826 - INFO - valid_loss:1.1150697814790826 in epoch14
2025-01-26 01:59:07,827 - INFO - valid_acc:0.8650724944317174 in epoch14
2025-01-26 01:59:07,827 - INFO - Mean iou = 77.42% in epoch14
2025-01-26 01:59:07,827 - INFO - save the model in epoch14
Epoch 15/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:42<00:00,  1.75batch/s]
2025-01-26 01:59:50,840 - INFO - train_loss:1.109312008221944 in epoch15
2025-01-26 01:59:50,841 - INFO - train_acc:0.8818308917901019 in epoch15
2025-01-26 01:59:50,842 - INFO - Epoch 15: Learning Rate: [9.999370701305539e-05]
Epoch 15/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:14<00:00,  2.57batch/s]
2025-01-26 02:00:05,637 - INFO - valid_loss:1.1137999672638743 in epoch15
2025-01-26 02:00:05,637 - INFO - valid_acc:0.8427162943064486 in epoch15
2025-01-26 02:00:05,637 - INFO - Mean iou = 74.37% in epoch15
Epoch 16/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:43<00:00,  1.74batch/s]
2025-01-26 02:00:48,847 - INFO - train_loss:1.1084569152196249 in epoch16
2025-01-26 02:00:48,848 - INFO - train_acc:0.8854326343865957 in epoch16
2025-01-26 02:00:48,848 - INFO - Epoch 16: Learning Rate: [9.999093818244868e-05]
Epoch 16/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.46batch/s]
2025-01-26 02:01:04,319 - INFO - valid_loss:1.1134804487228394 in epoch16
2025-01-26 02:01:04,319 - INFO - valid_acc:0.8583575257098337 in epoch16
2025-01-26 02:01:04,319 - INFO - Mean iou = 76.48% in epoch16
Epoch 17/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:42<00:00,  1.75batch/s]
2025-01-26 02:01:47,075 - INFO - train_loss:1.1078713448842366 in epoch17
2025-01-26 02:01:47,076 - INFO - train_acc:0.8914717811603826 in epoch17
2025-01-26 02:01:47,077 - INFO - Epoch 17: Learning Rate: [9.998766599399941e-05]
Epoch 17/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.49batch/s]
2025-01-26 02:02:02,321 - INFO - valid_loss:1.1121222188598232 in epoch17
2025-01-26 02:02:02,322 - INFO - valid_acc:0.8676444184786596 in epoch17
2025-01-26 02:02:02,322 - INFO - Mean iou = 77.78% in epoch17
2025-01-26 02:02:02,323 - INFO - save the model in epoch17
Epoch 18/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:43<00:00,  1.72batch/s]
2025-01-26 02:02:46,204 - INFO - train_loss:1.1075132083892822 in epoch18
2025-01-26 02:02:46,205 - INFO - train_acc:0.8928740872850021 in epoch18
2025-01-26 02:02:46,205 - INFO - Epoch 18: Learning Rate: [9.99838904806585e-05]
Epoch 18/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.48batch/s]
2025-01-26 02:03:01,508 - INFO - valid_loss:1.1118278534788835 in epoch18
2025-01-26 02:03:01,509 - INFO - valid_acc:0.8742748719194977 in epoch18
2025-01-26 02:03:01,509 - INFO - Mean iou = 78.77% in epoch18
2025-01-26 02:03:01,509 - INFO - save the model in epoch18
Epoch 19/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:42<00:00,  1.75batch/s]
2025-01-26 02:03:44,496 - INFO - train_loss:1.1066579214731853 in epoch19
2025-01-26 02:03:44,496 - INFO - train_acc:0.8996993423059846 in epoch19
2025-01-26 02:03:44,497 - INFO - Epoch 19: Learning Rate: [9.997961168044534e-05]
Epoch 19/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:14<00:00,  2.54batch/s]
2025-01-26 02:03:59,465 - INFO - valid_loss:1.1099447325656289 in epoch19
2025-01-26 02:03:59,466 - INFO - valid_acc:0.8826104847907396 in epoch19
2025-01-26 02:03:59,466 - INFO - Mean iou = 79.92% in epoch19
2025-01-26 02:03:59,467 - INFO - save the model in epoch19
Epoch 20/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:42<00:00,  1.76batch/s]
2025-01-26 02:04:42,304 - INFO - train_loss:1.1063317124048868 in epoch20
2025-01-26 02:04:42,305 - INFO - train_acc:0.9038370610417688 in epoch20
2025-01-26 02:04:42,305 - INFO - Epoch 20: Learning Rate: [9.997482963644735e-05]
Epoch 20/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.53batch/s]
2025-01-26 02:04:57,335 - INFO - valid_loss:1.1097713646135832 in epoch20
2025-01-26 02:04:57,335 - INFO - valid_acc:0.8798037917516088 in epoch20
2025-01-26 02:04:57,335 - INFO - Mean iou = 79.56% in epoch20
Epoch 21/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:43<00:00,  1.73batch/s]
2025-01-26 02:05:40,728 - INFO - train_loss:1.1062801631291708 in epoch21
2025-01-26 02:05:40,729 - INFO - train_acc:0.904261726761318 in epoch21
2025-01-26 02:05:40,729 - INFO - Epoch 21: Learning Rate: [9.99695443968197e-05]
Epoch 21/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.48batch/s]
2025-01-26 02:05:56,062 - INFO - valid_loss:1.1097313949936314 in epoch21
2025-01-26 02:05:56,062 - INFO - valid_acc:0.8877869911120327 in epoch21
2025-01-26 02:05:56,062 - INFO - Mean iou = 80.75% in epoch21
2025-01-26 02:05:56,063 - INFO - save the model in epoch21
Epoch 22/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:42<00:00,  1.75batch/s]
2025-01-26 02:06:38,991 - INFO - train_loss:1.1058441766103109 in epoch22
2025-01-26 02:06:38,992 - INFO - train_acc:0.9094865951123922 in epoch22
2025-01-26 02:06:38,992 - INFO - Epoch 22: Learning Rate: [9.996375601478469e-05]
Epoch 22/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:14<00:00,  2.58batch/s]
2025-01-26 02:06:53,752 - INFO - valid_loss:1.1095539488290485 in epoch22
2025-01-26 02:06:53,752 - INFO - valid_acc:0.8904896024115269 in epoch22
2025-01-26 02:06:53,752 - INFO - Mean iou = 81.10% in epoch22
2025-01-26 02:06:53,753 - INFO - save the model in epoch22
Epoch 23/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:43<00:00,  1.72batch/s]
2025-01-26 02:07:37,510 - INFO - train_loss:1.105400613149007 in epoch23
2025-01-26 02:07:37,511 - INFO - train_acc:0.9128204353523525 in epoch23
2025-01-26 02:07:37,511 - INFO - Epoch 23: Learning Rate: [9.995746454863124e-05]
Epoch 23/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.51batch/s]
2025-01-26 02:07:52,623 - INFO - valid_loss:1.1096095317288448 in epoch23
2025-01-26 02:07:52,623 - INFO - valid_acc:0.8840982217098392 in epoch23
2025-01-26 02:07:52,623 - INFO - Mean iou = 80.18% in epoch23
Epoch 24/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:42<00:00,  1.75batch/s]
2025-01-26 02:08:35,410 - INFO - train_loss:1.105320520401001 in epoch24
2025-01-26 02:08:35,411 - INFO - train_acc:0.9121789894267606 in epoch24
2025-01-26 02:08:35,411 - INFO - Epoch 24: Learning Rate: [9.995067006171437e-05]
Epoch 24/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.52batch/s]
2025-01-26 02:08:50,493 - INFO - valid_loss:1.1090058307898671 in epoch24
2025-01-26 02:08:50,494 - INFO - valid_acc:0.8917257035103966 in epoch24
2025-01-26 02:08:50,494 - INFO - Mean iou = 81.32% in epoch24
2025-01-26 02:08:50,495 - INFO - save the model in epoch24
Epoch 25/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:43<00:00,  1.72batch/s]
2025-01-26 02:09:34,221 - INFO - train_loss:1.1055339495340983 in epoch25
2025-01-26 02:09:34,221 - INFO - train_acc:0.9125093370047508 in epoch25
2025-01-26 02:09:34,222 - INFO - Epoch 25: Learning Rate: [9.994337262245449e-05]
Epoch 25/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.46batch/s]
2025-01-26 02:09:49,665 - INFO - valid_loss:1.1081700199528743 in epoch25
2025-01-26 02:09:49,666 - INFO - valid_acc:0.8947830911098834 in epoch25
2025-01-26 02:09:49,666 - INFO - Mean iou = 81.76% in epoch25
2025-01-26 02:09:49,667 - INFO - save the model in epoch25
Epoch 26/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:42<00:00,  1.74batch/s]
2025-01-26 02:10:32,858 - INFO - train_loss:1.10485702196757 in epoch26
2025-01-26 02:10:32,859 - INFO - train_acc:0.9177837116305261 in epoch26
2025-01-26 02:10:32,859 - INFO - Epoch 26: Learning Rate: [9.99355723043367e-05]
Epoch 26/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.53batch/s]
2025-01-26 02:10:47,862 - INFO - valid_loss:1.1092956097502458 in epoch26
2025-01-26 02:10:47,863 - INFO - valid_acc:0.8980689419035099 in epoch26
2025-01-26 02:10:47,863 - INFO - Mean iou = 82.29% in epoch26
2025-01-26 02:10:47,863 - INFO - save the model in epoch26
Epoch 27/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:42<00:00,  1.75batch/s]
2025-01-26 02:11:30,975 - INFO - train_loss:1.104983237584432 in epoch27
2025-01-26 02:11:30,976 - INFO - train_acc:0.9176164621407213 in epoch27
2025-01-26 02:11:30,976 - INFO - Epoch 27: Learning Rate: [9.992726918591017e-05]
Epoch 27/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.53batch/s]
2025-01-26 02:11:45,987 - INFO - valid_loss:1.108722498542384 in epoch27
2025-01-26 02:11:45,988 - INFO - valid_acc:0.8882307888589217 in epoch27
2025-01-26 02:11:45,988 - INFO - Mean iou = 80.82% in epoch27
Epoch 28/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:43<00:00,  1.72batch/s]
2025-01-26 02:12:29,679 - INFO - train_loss:1.1045360787709555 in epoch28
2025-01-26 02:12:29,679 - INFO - train_acc:0.9191634459215116 in epoch28
2025-01-26 02:12:29,680 - INFO - Epoch 28: Learning Rate: [9.991846335078716e-05]
Epoch 28/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.51batch/s]
2025-01-26 02:12:44,803 - INFO - valid_loss:1.1088242624935352 in epoch28
2025-01-26 02:12:44,803 - INFO - valid_acc:0.8995981437244869 in epoch28
2025-01-26 02:12:44,804 - INFO - Mean iou = 82.48% in epoch28
2025-01-26 02:12:44,804 - INFO - save the model in epoch28
Epoch 29/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:42<00:00,  1.75batch/s]
2025-01-26 02:13:27,764 - INFO - train_loss:1.104526875813802 in epoch29
2025-01-26 02:13:27,765 - INFO - train_acc:0.9193490398755447 in epoch29
2025-01-26 02:13:27,765 - INFO - Epoch 29: Learning Rate: [9.990915488764235e-05]
Epoch 29/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.50batch/s]
2025-01-26 02:13:42,973 - INFO - valid_loss:1.1081250780507137 in epoch29
2025-01-26 02:13:42,973 - INFO - valid_acc:0.9003732522898 in epoch29
2025-01-26 02:13:42,974 - INFO - Mean iou = 82.59% in epoch29
2025-01-26 02:13:42,974 - INFO - save the model in epoch29
Epoch 30/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:43<00:00,  1.71batch/s]
2025-01-26 02:14:26,961 - INFO - train_loss:1.1043733580907187 in epoch30
2025-01-26 02:14:26,962 - INFO - train_acc:0.922344622284458 in epoch30
2025-01-26 02:14:26,962 - INFO - Epoch 30: Learning Rate: [9.989934389021187e-05]
Epoch 30/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.52batch/s]
2025-01-26 02:14:42,056 - INFO - valid_loss:1.1081584095954895 in epoch30
2025-01-26 02:14:42,057 - INFO - valid_acc:0.8971860880889785 in epoch30
2025-01-26 02:14:42,057 - INFO - Mean iou = 82.14% in epoch30
Epoch 31/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:42<00:00,  1.75batch/s]
2025-01-26 02:15:24,937 - INFO - train_loss:1.1043910487492878 in epoch31
2025-01-26 02:15:24,938 - INFO - train_acc:0.9221068785382052 in epoch31
2025-01-26 02:15:24,938 - INFO - Epoch 31: Learning Rate: [9.988903045729233e-05]
Epoch 31/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.53batch/s]
2025-01-26 02:15:39,957 - INFO - valid_loss:1.108888892750991 in epoch31
2025-01-26 02:15:39,957 - INFO - valid_acc:0.8973998455827251 in epoch31
2025-01-26 02:15:39,958 - INFO - Mean iou = 82.16% in epoch31
Epoch 32/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:42<00:00,  1.76batch/s]
2025-01-26 02:16:22,561 - INFO - train_loss:1.104429054260254 in epoch32
2025-01-26 02:16:22,562 - INFO - train_acc:0.9234963357411474 in epoch32
2025-01-26 02:16:22,562 - INFO - Epoch 32: Learning Rate: [9.987821469273991e-05]
Epoch 32/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.53batch/s]
2025-01-26 02:16:37,573 - INFO - valid_loss:1.1088960076633252 in epoch32
2025-01-26 02:16:37,574 - INFO - valid_acc:0.8859653943808276 in epoch32
2025-01-26 02:16:37,574 - INFO - Mean iou = 80.46% in epoch32
Epoch 33/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:43<00:00,  1.73batch/s]
2025-01-26 02:17:20,847 - INFO - train_loss:1.1048999865849813 in epoch33
2025-01-26 02:17:20,848 - INFO - train_acc:0.9183109601320459 in epoch33
2025-01-26 02:17:20,848 - INFO - Epoch 33: Learning Rate: [9.986689670546923e-05]
Epoch 33/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:14<00:00,  2.53batch/s]
2025-01-26 02:17:35,841 - INFO - valid_loss:1.1073717820016962 in epoch33
2025-01-26 02:17:35,842 - INFO - valid_acc:0.8986138498501044 in epoch33
2025-01-26 02:17:35,842 - INFO - Mean iou = 82.36% in epoch33
Epoch 34/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:43<00:00,  1.74batch/s]
2025-01-26 02:18:18,933 - INFO - train_loss:1.103928311665853 in epoch34
2025-01-26 02:18:18,934 - INFO - train_acc:0.9249642871218833 in epoch34
2025-01-26 02:18:18,934 - INFO - Epoch 34: Learning Rate: [9.985507660945231e-05]
Epoch 34/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:14<00:00,  2.58batch/s]
2025-01-26 02:18:33,684 - INFO - valid_loss:1.1079399585723877 in epoch34
2025-01-26 02:18:33,685 - INFO - valid_acc:0.8941975058024987 in epoch34
2025-01-26 02:18:33,685 - INFO - Mean iou = 81.69% in epoch34
Epoch 35/1000 [Training]: 100%|█████████████████████████████████████████████████████████████████| 75/75 [00:43<00:00,  1.71batch/s]
2025-01-26 02:19:17,668 - INFO - train_loss:1.1038940413792928 in epoch35
2025-01-26 02:19:17,669 - INFO - train_acc:0.9286243413544296 in epoch35
2025-01-26 02:19:17,669 - INFO - Epoch 35: Learning Rate: [9.984275452371736e-05]
Epoch 35/1000 [Validation]: 100%|███████████████████████████████████████████████████████████████| 38/38 [00:15<00:00,  2.49batch/s]
2025-01-26 02:19:32,958 - INFO - valid_loss:1.1080809862990129 in epoch35
2025-01-26 02:19:32,958 - INFO - valid_acc:0.9057382615709468 in epoch35
