2025-02-04 21:42:50,827 - INFO - Namespace(device='cuda:1', channel_weights=[1.0, 2.0, 1.0, 1.0], batch_size=4, num_classes=4, pretrained=False, pretrained_weights='./Synapse_weights_1u1d', lr=0.0001, epochs=500, warmup_epochs=10, dataset_mode='ACDC', max_channel=256, l2_norm=1e-07, patience=15, wandb=True, cache=True, ed_es_only='', log_dir='../../de_logistics/ACDC_1DeepLabV3Plinear_02-04-21-42-49/', log_file_path='../../de_logistics/ACDC_1DeepLabV3Plinear_02-04-21-42-49/training.log')
Epoch 1/500 [Training]: 100%|████████████████████████████████████████| 150/150 [00:28<00:00,  5.34batch/s]
2025-02-04 21:48:54,241 - INFO - valid_acc:0.80127514333586 in epoch12
2025-02-04 21:48:54,242 - INFO - Mean iou = 68.99% in epoch12
2025-02-04 21:48:54,243 - INFO - save the model in epoch12
Epoch 13/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.89batch/s]
2025-02-04 21:49:19,802 - INFO - train_loss:1.1684606544176737 in epoch13
2025-02-04 21:49:19,803 - INFO - train_acc:0.813271408752399 in epoch13
2025-02-04 21:49:19,803 - INFO - Epoch 13: Learning Rate: [9.999075230958104e-05]
Epoch 13/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.49batch/s]
2025-02-04 21:49:23,656 - INFO - valid_loss:1.1635121250152587 in epoch13
2025-02-04 21:49:23,657 - INFO - valid_acc:0.8291496367066844 in epoch13
2025-02-04 21:49:23,657 - INFO - Mean iou = 72.54% in epoch13
2025-02-04 21:49:23,658 - INFO - save the model in epoch13
Epoch 14/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.92batch/s]
2025-02-04 21:49:49,091 - INFO - train_loss:1.1670845063527424 in epoch14
2025-02-04 21:49:49,092 - INFO - train_acc:0.8265802993674827 in epoch14
2025-02-04 21:49:49,092 - INFO - Epoch 14: Learning Rate: [9.998356005569284e-05]
Epoch 14/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.29batch/s]
2025-02-04 21:49:53,067 - INFO - valid_loss:1.1725131177902222 in epoch14
2025-02-04 21:49:53,067 - INFO - valid_acc:0.7624959851028411 in epoch14
2025-02-04 21:49:53,067 - INFO - Mean iou = 64.24% in epoch14
Epoch 15/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.85batch/s]
2025-02-04 21:50:18,696 - INFO - train_loss:1.165849938392639 in epoch15
2025-02-04 21:50:18,697 - INFO - train_acc:0.8362822920259215 in epoch15
2025-02-04 21:50:18,697 - INFO - Epoch 15: Learning Rate: [9.99743133789534e-05]
Epoch 15/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.58batch/s]
2025-02-04 21:50:22,500 - INFO - valid_loss:1.1604288864135741 in epoch15
2025-02-04 21:50:22,500 - INFO - valid_acc:0.8292509887886598 in epoch15
2025-02-04 21:50:22,500 - INFO - Mean iou = 72.69% in epoch15
2025-02-04 21:50:22,501 - INFO - save the model in epoch15
Epoch 16/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.85batch/s]
2025-02-04 21:50:48,209 - INFO - train_loss:1.1645859503746032 in epoch16
2025-02-04 21:50:48,209 - INFO - train_acc:0.8470662941901849 in epoch16
2025-02-04 21:50:48,209 - INFO - Epoch 16: Learning Rate: [9.996301265945735e-05]
Epoch 16/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.59batch/s]
2025-02-04 21:50:52,005 - INFO - valid_loss:1.1579595375061036 in epoch16
2025-02-04 21:50:52,005 - INFO - valid_acc:0.8618367466422204 in epoch16
2025-02-04 21:50:52,005 - INFO - Mean iou = 77.01% in epoch16
2025-02-04 21:50:52,006 - INFO - save the model in epoch16
Epoch 17/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:24<00:00,  6.08batch/s]
2025-02-04 21:51:16,780 - INFO - train_loss:1.1630588142077127 in epoch17
2025-02-04 21:51:16,781 - INFO - train_acc:0.861910786921537 in epoch17
2025-02-04 21:51:16,781 - INFO - Epoch 17: Learning Rate: [9.994965836173304e-05]
Epoch 17/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.30batch/s]
2025-02-04 21:51:20,753 - INFO - valid_loss:1.1575401163101195 in epoch17
2025-02-04 21:51:20,753 - INFO - valid_acc:0.855230973876349 in epoch17
2025-02-04 21:51:20,753 - INFO - Mean iou = 76.18% in epoch17
Epoch 18/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.87batch/s]
2025-02-04 21:51:46,300 - INFO - train_loss:1.1627260955174763 in epoch18
2025-02-04 21:51:46,301 - INFO - train_acc:0.8632392428790735 in epoch18
2025-02-04 21:51:46,301 - INFO - Epoch 18: Learning Rate: [9.99342510347233e-05]
Epoch 18/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:04<00:00,  6.23batch/s]
2025-02-04 21:51:50,315 - INFO - valid_loss:1.163191041946411 in epoch18
2025-02-04 21:51:50,315 - INFO - valid_acc:0.8471878093503933 in epoch18
2025-02-04 21:51:50,315 - INFO - Mean iou = 75.02% in epoch18
Epoch 19/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.84batch/s]
2025-02-04 21:52:15,998 - INFO - train_loss:1.1619838460286458 in epoch19
2025-02-04 21:52:15,999 - INFO - train_acc:0.8717145857344597 in epoch19
2025-02-04 21:52:15,999 - INFO - Epoch 19: Learning Rate: [9.991679131176305e-05]
Epoch 19/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:04<00:00,  6.24batch/s]
2025-02-04 21:52:20,009 - INFO - valid_loss:1.157869243621826 in epoch19
2025-02-04 21:52:20,009 - INFO - valid_acc:0.8640251380338629 in epoch19
2025-02-04 21:52:20,010 - INFO - Mean iou = 77.35% in epoch19
2025-02-04 21:52:20,010 - INFO - save the model in epoch19
Epoch 20/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.83batch/s]
2025-02-04 21:52:45,841 - INFO - train_loss:1.1618834598859151 in epoch20
2025-02-04 21:52:45,842 - INFO - train_acc:0.8706542328186384 in epoch20
2025-02-04 21:52:45,842 - INFO - Epoch 20: Learning Rate: [9.989727991055307e-05]
Epoch 20/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.43batch/s]
2025-02-04 21:52:49,730 - INFO - valid_loss:1.1566583251953124 in epoch20
2025-02-04 21:52:49,731 - INFO - valid_acc:0.8646653869152359 in epoch20
2025-02-04 21:52:49,731 - INFO - Mean iou = 77.45% in epoch20
2025-02-04 21:52:49,732 - INFO - save the model in epoch20
Epoch 21/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.85batch/s]
2025-02-04 21:53:15,478 - INFO - train_loss:1.1604908887545269 in epoch21
2025-02-04 21:53:15,478 - INFO - train_acc:0.8836295342411488 in epoch21
2025-02-04 21:53:15,479 - INFO - Epoch 21: Learning Rate: [9.987571763313067e-05]
Epoch 21/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.29batch/s]
2025-02-04 21:53:19,455 - INFO - valid_loss:1.1574803686141968 in epoch21
2025-02-04 21:53:19,455 - INFO - valid_acc:0.8636086768918415 in epoch21
2025-02-04 21:53:19,455 - INFO - Mean iou = 77.37% in epoch21
Epoch 22/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.85batch/s]
2025-02-04 21:53:45,103 - INFO - train_loss:1.1607729403177898 in epoch22
2025-02-04 21:53:45,104 - INFO - train_acc:0.8814501855471233 in epoch22
2025-02-04 21:53:45,104 - INFO - Epoch 22: Learning Rate: [9.985210536583661e-05]
Epoch 22/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.32batch/s]
2025-02-04 21:53:49,060 - INFO - valid_loss:1.1582598400115967 in epoch22
2025-02-04 21:53:49,060 - INFO - valid_acc:0.8741474785286906 in epoch22
2025-02-04 21:53:49,061 - INFO - Mean iou = 78.73% in epoch22
2025-02-04 21:53:49,061 - INFO - save the model in epoch22
Epoch 23/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.89batch/s]
2025-02-04 21:54:14,640 - INFO - train_loss:1.160374272664388 in epoch23
2025-02-04 21:54:14,641 - INFO - train_acc:0.8847012918172591 in epoch23
2025-02-04 21:54:14,641 - INFO - Epoch 23: Learning Rate: [9.982644407927872e-05]
Epoch 23/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.54batch/s]
2025-02-04 21:54:18,464 - INFO - valid_loss:1.1550407552719115 in epoch23
2025-02-04 21:54:18,464 - INFO - valid_acc:0.873212838392488 in epoch23
2025-02-04 21:54:18,464 - INFO - Mean iou = 78.62% in epoch23
Epoch 24/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.84batch/s]
2025-02-04 21:54:44,155 - INFO - train_loss:1.1598473556836446 in epoch24
2025-02-04 21:54:44,156 - INFO - train_acc:0.8909474716491737 in epoch24
2025-02-04 21:54:44,156 - INFO - Epoch 24: Learning Rate: [9.979873482829199e-05]
Epoch 24/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.37batch/s]
2025-02-04 21:54:48,083 - INFO - valid_loss:1.1547860527038574 in epoch24
2025-02-04 21:54:48,084 - INFO - valid_acc:0.8898119101598216 in epoch24
2025-02-04 21:54:48,084 - INFO - Mean iou = 81.08% in epoch24
2025-02-04 21:54:48,085 - INFO - save the model in epoch24
Epoch 25/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.81batch/s]
2025-02-04 21:55:13,985 - INFO - train_loss:1.1593446604410806 in epoch25
2025-02-04 21:55:13,986 - INFO - train_acc:0.8959495936483521 in epoch25
2025-02-04 21:55:13,986 - INFO - Epoch 25: Learning Rate: [9.976897875189518e-05]
Epoch 25/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.42batch/s]
2025-02-04 21:55:17,881 - INFO - valid_loss:1.1567746686935425 in epoch25
2025-02-04 21:55:17,881 - INFO - valid_acc:0.874205492173878 in epoch25
2025-02-04 21:55:17,881 - INFO - Mean iou = 78.89% in epoch25
Epoch 26/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.85batch/s]
2025-02-04 21:55:43,517 - INFO - train_loss:1.1592874630292256 in epoch26
2025-02-04 21:55:43,517 - INFO - train_acc:0.89480902455908 in epoch26
2025-02-04 21:55:43,517 - INFO - Epoch 26: Learning Rate: [9.973717707324405e-05]
Epoch 26/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.38batch/s]
2025-02-04 21:55:47,436 - INFO - valid_loss:1.1550259733200072 in epoch26
2025-02-04 21:55:47,436 - INFO - valid_acc:0.8927170862251873 in epoch26
2025-02-04 21:55:47,437 - INFO - Mean iou = 81.58% in epoch26
2025-02-04 21:55:47,437 - INFO - save the model in epoch26
Epoch 27/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.87batch/s]
2025-02-04 21:56:13,065 - INFO - train_loss:1.1593621214230856 in epoch27
2025-02-04 21:56:13,066 - INFO - train_acc:0.8954999981695988 in epoch27
2025-02-04 21:56:13,066 - INFO - Epoch 27: Learning Rate: [9.970333109958104e-05]
Epoch 27/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.28batch/s]
2025-02-04 21:56:17,050 - INFO - valid_loss:1.1555055141448975 in epoch27
2025-02-04 21:56:17,050 - INFO - valid_acc:0.8933240737826397 in epoch27
2025-02-04 21:56:17,051 - INFO - Mean iou = 81.62% in epoch27
2025-02-04 21:56:17,052 - INFO - save the model in epoch27
Epoch 28/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.83batch/s]
2025-02-04 21:56:42,855 - INFO - train_loss:1.158738333384196 in epoch28
2025-02-04 21:56:42,856 - INFO - train_acc:0.9013706170260278 in epoch28
2025-02-04 21:56:42,856 - INFO - Epoch 28: Learning Rate: [9.966744222218161e-05]
Epoch 28/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.40batch/s]
2025-02-04 21:56:46,766 - INFO - valid_loss:1.1540474224090576 in epoch28
2025-02-04 21:56:46,766 - INFO - valid_acc:0.8883344050557922 in epoch28
2025-02-04 21:56:46,766 - INFO - Mean iou = 80.88% in epoch28
Epoch 29/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.80batch/s]
2025-02-04 21:57:12,653 - INFO - train_loss:1.1584800903002421 in epoch29
2025-02-04 21:57:12,653 - INFO - train_acc:0.904223173065699 in epoch29
2025-02-04 21:57:12,653 - INFO - Epoch 29: Learning Rate: [9.962951191629689e-05]
Epoch 29/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.28batch/s]
2025-02-04 21:57:16,636 - INFO - valid_loss:1.1561940956115722 in epoch29
2025-02-04 21:57:16,636 - INFO - valid_acc:0.8864967456612132 in epoch29
2025-02-04 21:57:16,637 - INFO - Mean iou = 80.64% in epoch29
Epoch 30/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.83batch/s]
2025-02-04 21:57:42,380 - INFO - train_loss:1.1588230641682942 in epoch30
2025-02-04 21:57:42,380 - INFO - train_acc:0.9015182408197098 in epoch30
2025-02-04 21:57:42,381 - INFO - Epoch 30: Learning Rate: [9.95895417410932e-05]
Epoch 30/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:04<00:00,  6.13batch/s]
2025-02-04 21:57:46,462 - INFO - valid_loss:1.1555015802383424 in epoch30
2025-02-04 21:57:46,463 - INFO - valid_acc:0.8885296298746327 in epoch30
2025-02-04 21:57:46,463 - INFO - Mean iou = 80.94% in epoch30
Epoch 31/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.87batch/s]
2025-02-04 21:58:12,001 - INFO - train_loss:1.1586655441919962 in epoch31
2025-02-04 21:58:12,002 - INFO - train_acc:0.9043143525031151 in epoch31
2025-02-04 21:58:12,002 - INFO - Epoch 31: Learning Rate: [9.954753333958791e-05]
Epoch 31/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.47batch/s]
2025-02-04 21:58:15,870 - INFO - valid_loss:1.156174292564392 in epoch31
2025-02-04 21:58:15,870 - INFO - valid_acc:0.8851395252400378 in epoch31
2025-02-04 21:58:15,870 - INFO - Mean iou = 80.41% in epoch31
Epoch 32/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.87batch/s]
2025-02-04 21:58:41,443 - INFO - train_loss:1.1585206095377605 in epoch32
2025-02-04 21:58:41,444 - INFO - train_acc:0.9053951013537651 in epoch32
2025-02-04 21:58:41,444 - INFO - Epoch 32: Learning Rate: [9.950348843858186e-05]
Epoch 32/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.30batch/s]
2025-02-04 21:58:45,415 - INFO - valid_loss:1.1550040578842162 in epoch32
2025-02-04 21:58:45,416 - INFO - valid_acc:0.8952954820678759 in epoch32
2025-02-04 21:58:45,416 - INFO - Mean iou = 81.90% in epoch32
2025-02-04 21:58:45,417 - INFO - save the model in epoch32
Epoch 33/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:26<00:00,  5.73batch/s]
2025-02-04 21:59:11,669 - INFO - train_loss:1.1578087782859803 in epoch33
2025-02-04 21:59:11,670 - INFO - train_acc:0.909482949074305 in epoch33
2025-02-04 21:59:11,670 - INFO - Epoch 33: Learning Rate: [9.94574088485884e-05]
Epoch 33/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.43batch/s]
2025-02-04 21:59:15,561 - INFO - valid_loss:1.1555857419967652 in epoch33
2025-02-04 21:59:15,561 - INFO - valid_acc:0.9006883908668005 in epoch33
2025-02-04 21:59:15,561 - INFO - Mean iou = 82.69% in epoch33
2025-02-04 21:59:15,562 - INFO - save the model in epoch33
Epoch 34/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.82batch/s]
2025-02-04 21:59:41,414 - INFO - train_loss:1.157903544108073 in epoch34
2025-02-04 21:59:41,415 - INFO - train_acc:0.9098717692916447 in epoch34
2025-02-04 21:59:41,415 - INFO - Epoch 34: Learning Rate: [9.940929646375904e-05]
Epoch 34/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.49batch/s]
2025-02-04 21:59:45,269 - INFO - valid_loss:1.15623300075531 in epoch34
2025-02-04 21:59:45,270 - INFO - valid_acc:0.8898510659248247 in epoch34
2025-02-04 21:59:45,270 - INFO - Mean iou = 81.12% in epoch34
Epoch 35/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.82batch/s]
2025-02-04 22:00:11,047 - INFO - train_loss:1.1577877887090047 in epoch35
2025-02-04 22:00:11,047 - INFO - train_acc:0.9119021736471169 in epoch35
2025-02-04 22:00:11,047 - INFO - Epoch 35: Learning Rate: [9.935915326180545e-05]
Epoch 35/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:04<00:00,  6.18batch/s]
2025-02-04 22:00:15,097 - INFO - valid_loss:1.1547317171096803 in epoch35
2025-02-04 22:00:15,098 - INFO - valid_acc:0.8983663381310514 in epoch35
2025-02-04 22:00:15,098 - INFO - Mean iou = 82.39% in epoch35
Epoch 36/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.85batch/s]
2025-02-04 22:00:40,721 - INFO - train_loss:1.1577205888430278 in epoch36
2025-02-04 22:00:40,722 - INFO - train_acc:0.9117786590848431 in epoch36
2025-02-04 22:00:40,722 - INFO - Epoch 36: Learning Rate: [9.930698130391824e-05]
Epoch 36/500 [Validation]: 100%|███████████████████████████████████████| 25/25 [00:03<00:00,  6.38batch/s]
2025-02-04 22:00:44,645 - INFO - valid_loss:1.154134111404419 in epoch36
2025-02-04 22:00:44,646 - INFO - valid_acc:0.9006473978513013 in epoch36
2025-02-04 22:00:44,646 - INFO - Mean iou = 82.74% in epoch36
Epoch 37/500 [Training]: 100%|███████████████████████████████████████| 150/150 [00:25<00:00,  5.79batch/s]
2025-02-04 22:01:10,563 - INFO - train_loss:1.157630607287089 in epoch37
2025-02-04 22:01:10,564 - INFO - train_acc:0.9135194716922596 in epoch37
2025-02-04 22:01:10,564 - INFO - Epoch 37: Learning Rate: [9.925278273468229e-05]
