2025-02-07 14:38:14,853 - INFO - Namespace(device='cuda:7', channel_weights=[1.0, 2.0, 1.0, 1.0], batch_size=2, num_classes=4, pretrained=False, pretrained_weights='./Synapse_weights_1u1d', lr=0.0001, epochs=500, warmup_epochs=10, dataset_mode='ACDC', max_channel=512, l2_norm=1e-07, patience=15, wandb=True, cache=True, ed_es_only='', log_dir='../../de_logistics/ACDC_4UNetlinear_02-07-14-38-13/', log_file_path='../../de_logistics/ACDC_4UNetlinear_02-07-14-38-13/training.log')
Epoch 1/500 [Training]: 100%|█████████████████████████████████████████████████████| 300/300 [02:25<00:00,  2.06batch/s]
2025-02-07 14:48:52,630 - INFO - valid_acc:0.86535769292178 in epoch4
2025-02-07 14:48:52,630 - INFO - Mean iou = 77.76% in epoch4
2025-02-07 14:48:52,631 - INFO - save the model in epoch4
Epoch 5/500 [Training]: 100%|█████████████████████████████████████████████████████| 300/300 [02:26<00:00,  2.05batch/s]
2025-02-07 14:51:19,526 - INFO - train_loss:1.1647117773691813 in epoch5
2025-02-07 14:51:19,528 - INFO - train_acc:0.8669269010013081 in epoch5
2025-02-07 14:51:19,528 - INFO - Epoch 5: Learning Rate: [6e-05]
Epoch 5/500 [Validation]: 100%|█████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.22batch/s]
2025-02-07 14:51:31,387 - INFO - valid_loss:1.1545811104774475 in epoch5
2025-02-07 14:51:31,387 - INFO - valid_acc:0.8997176731783906 in epoch5
2025-02-07 14:51:31,388 - INFO - Mean iou = 82.67% in epoch5
2025-02-07 14:51:31,389 - INFO - save the model in epoch5
Epoch 6/500 [Training]: 100%|█████████████████████████████████████████████████████| 300/300 [02:25<00:00,  2.06batch/s]
2025-02-07 14:53:58,210 - INFO - train_loss:1.163421881198883 in epoch6
2025-02-07 14:53:58,211 - INFO - train_acc:0.8766454273908905 in epoch6
2025-02-07 14:53:58,211 - INFO - Epoch 6: Learning Rate: [7e-05]
Epoch 6/500 [Validation]: 100%|█████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.19batch/s]
2025-02-07 14:54:10,141 - INFO - valid_loss:1.1554749703407288 in epoch6
2025-02-07 14:54:10,141 - INFO - valid_acc:0.8851035265895024 in epoch6
2025-02-07 14:54:10,142 - INFO - Mean iou = 80.56% in epoch6
Epoch 7/500 [Training]: 100%|█████████████████████████████████████████████████████| 300/300 [02:26<00:00,  2.05batch/s]
2025-02-07 14:56:36,254 - INFO - train_loss:1.162343442440033 in epoch7
2025-02-07 14:56:36,255 - INFO - train_acc:0.8818324038756373 in epoch7
2025-02-07 14:56:36,255 - INFO - Epoch 7: Learning Rate: [8e-05]
Epoch 7/500 [Validation]: 100%|█████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.22batch/s]
2025-02-07 14:56:48,111 - INFO - valid_loss:1.1573414397239685 in epoch7
2025-02-07 14:56:48,111 - INFO - valid_acc:0.8995041056022434 in epoch7
2025-02-07 14:56:48,111 - INFO - Mean iou = 82.58% in epoch7
Epoch 8/500 [Training]: 100%|█████████████████████████████████████████████████████| 300/300 [02:26<00:00,  2.05batch/s]
2025-02-07 14:59:14,213 - INFO - train_loss:1.1617366774876912 in epoch8
2025-02-07 14:59:14,214 - INFO - train_acc:0.8876491444430065 in epoch8
2025-02-07 14:59:14,214 - INFO - Epoch 8: Learning Rate: [9e-05]
Epoch 8/500 [Validation]: 100%|█████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.19batch/s]
2025-02-07 14:59:26,155 - INFO - valid_loss:1.154737455844879 in epoch8
2025-02-07 14:59:26,155 - INFO - valid_acc:0.8904038517255671 in epoch8
2025-02-07 14:59:26,155 - INFO - Mean iou = 81.38% in epoch8
Epoch 9/500 [Training]: 100%|█████████████████████████████████████████████████████| 300/300 [02:25<00:00,  2.05batch/s]
2025-02-07 15:01:52,156 - INFO - train_loss:1.161170909802119 in epoch9
2025-02-07 15:01:52,157 - INFO - train_acc:0.8915144428773937 in epoch9
2025-02-07 15:01:52,157 - INFO - Epoch 9: Learning Rate: [0.0001]
Epoch 9/500 [Validation]: 100%|█████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.20batch/s]
2025-02-07 15:02:04,074 - INFO - valid_loss:1.1548126006126405 in epoch9
2025-02-07 15:02:04,075 - INFO - valid_acc:0.8994500813503508 in epoch9
2025-02-07 15:02:04,075 - INFO - Mean iou = 82.66% in epoch9
Epoch 10/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:25<00:00,  2.06batch/s]
2025-02-07 15:04:29,775 - INFO - train_loss:1.160809186299642 in epoch10
2025-02-07 15:04:29,776 - INFO - train_acc:0.8929876128230849 in epoch10
2025-02-07 15:04:29,777 - INFO - Epoch 10: Learning Rate: [0.0001]
Epoch 10/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:12<00:00,  4.14batch/s]
2025-02-07 15:04:41,870 - INFO - valid_loss:1.1531972980499268 in epoch10
2025-02-07 15:04:41,870 - INFO - valid_acc:0.90597843930116 in epoch10
2025-02-07 15:04:41,870 - INFO - Mean iou = 83.64% in epoch10
2025-02-07 15:04:41,871 - INFO - save the model in epoch10
Epoch 11/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:25<00:00,  2.05batch/s]
2025-02-07 15:07:08,673 - INFO - train_loss:1.159943645397822 in epoch11
2025-02-07 15:07:08,674 - INFO - train_acc:0.898738552357211 in epoch11
2025-02-07 15:07:08,674 - INFO - Epoch 11: Learning Rate: [9.999897245068351e-05]
Epoch 11/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.18batch/s]
2025-02-07 15:07:20,633 - INFO - valid_loss:1.1524683594703675 in epoch11
2025-02-07 15:07:20,634 - INFO - valid_acc:0.9157592465997147 in epoch11
2025-02-07 15:07:20,634 - INFO - Mean iou = 85.12% in epoch11
2025-02-07 15:07:20,635 - INFO - save the model in epoch11
Epoch 12/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:26<00:00,  2.05batch/s]
2025-02-07 15:09:48,020 - INFO - train_loss:1.1595064663887025 in epoch12
2025-02-07 15:09:48,021 - INFO - train_acc:0.9036585649425575 in epoch12
2025-02-07 15:09:48,021 - INFO - Epoch 12: Learning Rate: [9.999588984497258e-05]
Epoch 12/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:12<00:00,  4.16batch/s]
2025-02-07 15:10:00,052 - INFO - valid_loss:1.1546292448043822 in epoch12
2025-02-07 15:10:00,053 - INFO - valid_acc:0.9072705523676642 in epoch12
2025-02-07 15:10:00,053 - INFO - Mean iou = 83.78% in epoch12
Epoch 13/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:26<00:00,  2.05batch/s]
2025-02-07 15:12:26,122 - INFO - train_loss:1.1595764990647635 in epoch13
2025-02-07 15:12:26,123 - INFO - train_acc:0.9069567946935259 in epoch13
2025-02-07 15:12:26,123 - INFO - Epoch 13: Learning Rate: [9.999075230958104e-05]
Epoch 13/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.20batch/s]
2025-02-07 15:12:38,039 - INFO - valid_loss:1.1516916418075562 in epoch13
2025-02-07 15:12:38,040 - INFO - valid_acc:0.9192370381675703 in epoch13
2025-02-07 15:12:38,040 - INFO - Mean iou = 85.69% in epoch13
2025-02-07 15:12:38,041 - INFO - save the model in epoch13
Epoch 14/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:26<00:00,  2.05batch/s]
2025-02-07 15:15:05,246 - INFO - train_loss:1.1588534275690714 in epoch14
2025-02-07 15:15:05,247 - INFO - train_acc:0.9087793869503975 in epoch14
2025-02-07 15:15:05,247 - INFO - Epoch 14: Learning Rate: [9.998356005569284e-05]
Epoch 14/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:12<00:00,  4.16batch/s]
2025-02-07 15:15:17,264 - INFO - valid_loss:1.1532384490966796 in epoch14
2025-02-07 15:15:17,265 - INFO - valid_acc:0.9189551427203255 in epoch14
2025-02-07 15:15:17,265 - INFO - Mean iou = 85.63% in epoch14
Epoch 15/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:26<00:00,  2.05batch/s]
2025-02-07 15:17:43,345 - INFO - train_loss:1.1588882279396058 in epoch15
2025-02-07 15:17:43,345 - INFO - train_acc:0.9108317492004141 in epoch15
2025-02-07 15:17:43,346 - INFO - Epoch 15: Learning Rate: [9.99743133789534e-05]
Epoch 15/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.20batch/s]
2025-02-07 15:17:55,262 - INFO - valid_loss:1.1525993037223816 in epoch15
2025-02-07 15:17:55,263 - INFO - valid_acc:0.911453455363596 in epoch15
2025-02-07 15:17:55,263 - INFO - Mean iou = 84.46% in epoch15
Epoch 16/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 15:20:19,718 - INFO - train_loss:1.1583618120352428 in epoch16
2025-02-07 15:20:19,718 - INFO - train_acc:0.9120556334664203 in epoch16
2025-02-07 15:20:19,719 - INFO - Epoch 16: Learning Rate: [9.996301265945735e-05]
Epoch 16/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.29batch/s]
2025-02-07 15:20:31,387 - INFO - valid_loss:1.1545352149009704 in epoch16
2025-02-07 15:20:31,388 - INFO - valid_acc:0.922040809346482 in epoch16
2025-02-07 15:20:31,388 - INFO - Mean iou = 86.17% in epoch16
2025-02-07 15:20:31,388 - INFO - save the model in epoch16
Epoch 17/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 15:22:56,536 - INFO - train_loss:1.1581632169087728 in epoch17
2025-02-07 15:22:56,537 - INFO - train_acc:0.914576273218269 in epoch17
2025-02-07 15:22:56,538 - INFO - Epoch 17: Learning Rate: [9.994965836173304e-05]
Epoch 17/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.30batch/s]
2025-02-07 15:23:08,176 - INFO - valid_loss:1.151949348449707 in epoch17
2025-02-07 15:23:08,177 - INFO - valid_acc:0.9224605360117732 in epoch17
2025-02-07 15:23:08,177 - INFO - Mean iou = 86.16% in epoch17
2025-02-07 15:23:08,177 - INFO - save the model in epoch17
Epoch 18/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.07batch/s]
2025-02-07 15:25:33,588 - INFO - train_loss:1.1582804199059804 in epoch18
2025-02-07 15:25:33,588 - INFO - train_acc:0.9149165626989173 in epoch18
2025-02-07 15:25:33,589 - INFO - Epoch 18: Learning Rate: [9.99342510347233e-05]
Epoch 18/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.32batch/s]
2025-02-07 15:25:45,165 - INFO - valid_loss:1.1561312866210938 in epoch18
2025-02-07 15:25:45,165 - INFO - valid_acc:0.9178472923764106 in epoch18
2025-02-07 15:25:45,166 - INFO - Mean iou = 85.53% in epoch18
Epoch 19/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 15:28:09,507 - INFO - train_loss:1.157844512462616 in epoch19
2025-02-07 15:28:09,508 - INFO - train_acc:0.9164334172317289 in epoch19
2025-02-07 15:28:09,508 - INFO - Epoch 19: Learning Rate: [9.991679131176305e-05]
Epoch 19/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.30batch/s]
2025-02-07 15:28:21,135 - INFO - valid_loss:1.1515081787109376 in epoch19
2025-02-07 15:28:21,136 - INFO - valid_acc:0.918291765852679 in epoch19
2025-02-07 15:28:21,136 - INFO - Mean iou = 85.56% in epoch19
Epoch 20/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.07batch/s]
2025-02-07 15:30:45,849 - INFO - train_loss:1.1577874473730723 in epoch20
2025-02-07 15:30:45,850 - INFO - train_acc:0.91776300727767 in epoch20
2025-02-07 15:30:45,851 - INFO - Epoch 20: Learning Rate: [9.989727991055307e-05]
Epoch 20/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.28batch/s]
2025-02-07 15:30:57,535 - INFO - valid_loss:1.151877956390381 in epoch20
2025-02-07 15:30:57,535 - INFO - valid_acc:0.9217742836584057 in epoch20
2025-02-07 15:30:57,535 - INFO - Mean iou = 86.06% in epoch20
Epoch 21/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 15:33:21,931 - INFO - train_loss:1.1576930956045786 in epoch21
2025-02-07 15:33:21,932 - INFO - train_acc:0.9195892336025948 in epoch21
2025-02-07 15:33:21,932 - INFO - Epoch 21: Learning Rate: [9.987571763313067e-05]
Epoch 21/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.33batch/s]
2025-02-07 15:33:33,486 - INFO - valid_loss:1.1511692523956298 in epoch21
2025-02-07 15:33:33,487 - INFO - valid_acc:0.9285789045423938 in epoch21
2025-02-07 15:33:33,487 - INFO - Mean iou = 87.15% in epoch21
2025-02-07 15:33:33,488 - INFO - save the model in epoch21
Epoch 22/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 15:35:58,594 - INFO - train_loss:1.1575940636793773 in epoch22
2025-02-07 15:35:58,594 - INFO - train_acc:0.9194753693835274 in epoch22
2025-02-07 15:35:58,595 - INFO - Epoch 22: Learning Rate: [9.985210536583661e-05]
Epoch 22/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.31batch/s]
2025-02-07 15:36:10,190 - INFO - valid_loss:1.1514425230026246 in epoch22
2025-02-07 15:36:10,191 - INFO - valid_acc:0.9220540484834929 in epoch22
2025-02-07 15:36:10,191 - INFO - Mean iou = 86.12% in epoch22
Epoch 23/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 15:38:34,292 - INFO - train_loss:1.1575338741143544 in epoch23
2025-02-07 15:38:34,293 - INFO - train_acc:0.9190103533110725 in epoch23
2025-02-07 15:38:34,293 - INFO - Epoch 23: Learning Rate: [9.982644407927872e-05]
Epoch 23/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.30batch/s]
2025-02-07 15:38:45,926 - INFO - valid_loss:1.1508816838264466 in epoch23
2025-02-07 15:38:45,927 - INFO - valid_acc:0.9247665384815398 in epoch23
2025-02-07 15:38:45,927 - INFO - Mean iou = 86.55% in epoch23
Epoch 24/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 15:41:10,219 - INFO - train_loss:1.1575959058602652 in epoch24
2025-02-07 15:41:10,220 - INFO - train_acc:0.9216015879252304 in epoch24
2025-02-07 15:41:10,221 - INFO - Epoch 24: Learning Rate: [9.979873482829199e-05]
Epoch 24/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.31batch/s]
2025-02-07 15:41:21,817 - INFO - valid_loss:1.15130179643631 in epoch24
2025-02-07 15:41:21,817 - INFO - valid_acc:0.9282687003845047 in epoch24
2025-02-07 15:41:21,817 - INFO - Mean iou = 87.09% in epoch24
Epoch 25/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 15:43:46,383 - INFO - train_loss:1.1573908325036366 in epoch25
2025-02-07 15:43:46,384 - INFO - train_acc:0.922644843784471 in epoch25
2025-02-07 15:43:46,384 - INFO - Epoch 25: Learning Rate: [9.976897875189518e-05]
Epoch 25/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.29batch/s]
2025-02-07 15:43:58,054 - INFO - valid_loss:1.150813307762146 in epoch25
2025-02-07 15:43:58,055 - INFO - valid_acc:0.9280707404268513 in epoch25
2025-02-07 15:43:58,055 - INFO - Mean iou = 87.07% in epoch25
Epoch 26/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 15:46:22,559 - INFO - train_loss:1.157345371643702 in epoch26
2025-02-07 15:46:22,560 - INFO - train_acc:0.9224350384010891 in epoch26
2025-02-07 15:46:22,560 - INFO - Epoch 26: Learning Rate: [9.973717707324405e-05]
Epoch 26/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.33batch/s]
2025-02-07 15:46:34,116 - INFO - valid_loss:1.1507311177253723 in epoch26
2025-02-07 15:46:34,116 - INFO - valid_acc:0.9267709974058792 in epoch26
2025-02-07 15:46:34,116 - INFO - Mean iou = 86.90% in epoch26
Epoch 27/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 15:48:58,515 - INFO - train_loss:1.157458240588506 in epoch27
2025-02-07 15:48:58,516 - INFO - train_acc:0.9240394042219985 in epoch27
2025-02-07 15:48:58,516 - INFO - Epoch 27: Learning Rate: [9.970333109958104e-05]
Epoch 27/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.28batch/s]
2025-02-07 15:49:10,193 - INFO - valid_loss:1.1513440799713135 in epoch27
2025-02-07 15:49:10,194 - INFO - valid_acc:0.9313777808643409 in epoch27
2025-02-07 15:49:10,194 - INFO - Mean iou = 87.62% in epoch27
2025-02-07 15:49:10,194 - INFO - save the model in epoch27
Epoch 28/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 15:51:35,023 - INFO - train_loss:1.1570593583583832 in epoch28
2025-02-07 15:51:35,024 - INFO - train_acc:0.9247573559342368 in epoch28
2025-02-07 15:51:35,024 - INFO - Epoch 28: Learning Rate: [9.966744222218161e-05]
Epoch 28/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.27batch/s]
2025-02-07 15:51:46,749 - INFO - valid_loss:1.1514058446884154 in epoch28
2025-02-07 15:51:46,749 - INFO - valid_acc:0.9217102865529531 in epoch28
2025-02-07 15:51:46,750 - INFO - Mean iou = 86.05% in epoch28
Epoch 29/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 15:54:11,221 - INFO - train_loss:1.1574422252178191 in epoch29
2025-02-07 15:54:11,222 - INFO - train_acc:0.9248895727870948 in epoch29
2025-02-07 15:54:11,222 - INFO - Epoch 29: Learning Rate: [9.962951191629689e-05]
Epoch 29/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.29batch/s]
2025-02-07 15:54:22,877 - INFO - valid_loss:1.1515302467346191 in epoch29
2025-02-07 15:54:22,877 - INFO - valid_acc:0.9228083064500981 in epoch29
2025-02-07 15:54:22,878 - INFO - Mean iou = 86.21% in epoch29
Epoch 30/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:23<00:00,  2.08batch/s]
2025-02-07 15:56:46,852 - INFO - train_loss:1.1570080582300821 in epoch30
2025-02-07 15:56:46,853 - INFO - train_acc:0.9263536763812756 in epoch30
2025-02-07 15:56:46,853 - INFO - Epoch 30: Learning Rate: [9.95895417410932e-05]
Epoch 30/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.24batch/s]
2025-02-07 15:56:58,654 - INFO - valid_loss:1.151005849838257 in epoch30
2025-02-07 15:56:58,654 - INFO - valid_acc:0.9324588962164896 in epoch30
2025-02-07 15:56:58,654 - INFO - Mean iou = 87.77% in epoch30
2025-02-07 15:56:58,655 - INFO - save the model in epoch30
Epoch 31/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 15:59:23,627 - INFO - train_loss:1.1569010905424755 in epoch31
2025-02-07 15:59:23,628 - INFO - train_acc:0.9282418194934162 in epoch31
2025-02-07 15:59:23,628 - INFO - Epoch 31: Learning Rate: [9.954753333958791e-05]
Epoch 31/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.31batch/s]
2025-02-07 15:59:35,235 - INFO - valid_loss:1.1509562921524048 in epoch31
2025-02-07 15:59:35,235 - INFO - valid_acc:0.9227229301546882 in epoch31
2025-02-07 15:59:35,235 - INFO - Mean iou = 86.22% in epoch31
Epoch 32/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 16:01:59,511 - INFO - train_loss:1.156819224357605 in epoch32
2025-02-07 16:01:59,511 - INFO - train_acc:0.9274021137134243 in epoch32
2025-02-07 16:01:59,512 - INFO - Epoch 32: Learning Rate: [9.950348843858186e-05]
Epoch 32/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.31batch/s]
2025-02-07 16:02:11,125 - INFO - valid_loss:1.1509401106834412 in epoch32
2025-02-07 16:02:11,126 - INFO - valid_acc:0.9329231358945642 in epoch32
2025-02-07 16:02:11,126 - INFO - Mean iou = 87.88% in epoch32
2025-02-07 16:02:11,126 - INFO - save the model in epoch32
Epoch 33/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 16:04:36,214 - INFO - train_loss:1.1568444387118022 in epoch33
2025-02-07 16:04:36,215 - INFO - train_acc:0.9278919842967912 in epoch33
2025-02-07 16:04:36,215 - INFO - Epoch 33: Learning Rate: [9.94574088485884e-05]
Epoch 33/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.30batch/s]
2025-02-07 16:04:47,843 - INFO - valid_loss:1.1511611890792848 in epoch33
2025-02-07 16:04:47,844 - INFO - valid_acc:0.9292777212895273 in epoch33
2025-02-07 16:04:47,844 - INFO - Mean iou = 87.25% in epoch33
Epoch 34/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 16:07:11,963 - INFO - train_loss:1.1564959800243377 in epoch34
2025-02-07 16:07:11,963 - INFO - train_acc:0.9286974665597693 in epoch34
2025-02-07 16:07:11,964 - INFO - Epoch 34: Learning Rate: [9.940929646375904e-05]
Epoch 34/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.26batch/s]
2025-02-07 16:07:23,701 - INFO - valid_loss:1.1516784191131593 in epoch34
2025-02-07 16:07:23,702 - INFO - valid_acc:0.9291634812764369 in epoch34
2025-02-07 16:07:23,702 - INFO - Mean iou = 87.23% in epoch34
Epoch 35/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 16:09:47,752 - INFO - train_loss:1.1564734105269114 in epoch35
2025-02-07 16:09:47,753 - INFO - train_acc:0.9290892147261626 in epoch35
2025-02-07 16:09:47,753 - INFO - Epoch 35: Learning Rate: [9.935915326180545e-05]
Epoch 35/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.29batch/s]
2025-02-07 16:09:59,417 - INFO - valid_loss:1.1508707261085511 in epoch35
2025-02-07 16:09:59,418 - INFO - valid_acc:0.9286362287631793 in epoch35
2025-02-07 16:09:59,418 - INFO - Mean iou = 87.17% in epoch35
Epoch 36/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 16:12:23,523 - INFO - train_loss:1.1567199464639029 in epoch36
2025-02-07 16:12:23,524 - INFO - train_acc:0.9292899920150006 in epoch36
2025-02-07 16:12:23,524 - INFO - Epoch 36: Learning Rate: [9.930698130391824e-05]
Epoch 36/500 [Validation]: 100%|████████████████████████████████████████████████████| 50/50 [00:11<00:00,  4.27batch/s]
2025-02-07 16:12:35,235 - INFO - valid_loss:1.1504419350624084 in epoch36
2025-02-07 16:12:35,235 - INFO - valid_acc:0.9309534136983144 in epoch36
2025-02-07 16:12:35,236 - INFO - Mean iou = 87.51% in epoch36
Epoch 37/500 [Training]: 100%|████████████████████████████████████████████████████| 300/300 [02:24<00:00,  2.08batch/s]
2025-02-07 16:14:59,728 - INFO - train_loss:1.1565117180347442 in epoch37
2025-02-07 16:14:59,729 - INFO - train_acc:0.9297126656152583 in epoch37
2025-02-07 16:14:59,729 - INFO - Epoch 37: Learning Rate: [9.925278273468229e-05]
