2025-02-02 16:35:57,616 - INFO - Namespace(device='cuda:3', channel_weights=[1.0, 2.0, 1.0, 1.0], batch_size=8, num_classes=4, pretrained=False, pretrained_weights='./Synapse_weights_1u1d', lr=0.0001, epochs=500, warmup_epochs=10, dataset_mode='ACDC', max_channel=256, l2_norm=1e-07, patience=15, aug=False, wandb=True, cache=True, log_dir='../../de_logistics/ACDC_2UNetlinear_02-02-16-35-56/', log_file_path='../../de_logistics/ACDC_2UNetlinear_02-02-16-35-56/training.log')
Epoch 1/500 [Training]: 100%|████████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 16:41:26,764 - INFO - valid_acc:0.8851317150978564 in epoch6
2025-02-02 16:41:26,765 - INFO - Mean iou = 80.28% in epoch6
2025-02-02 16:41:26,765 - INFO - save the model in epoch6
Epoch 7/500 [Training]: 100%|████████████████████████████████████████████████████████████████████| 75/75 [00:47<00:00,  1.58batch/s]
2025-02-02 16:42:14,440 - INFO - train_loss:1.1660875272750855 in epoch7
2025-02-02 16:42:14,441 - INFO - train_acc:0.8731809800911462 in epoch7
2025-02-02 16:42:14,441 - INFO - Epoch 7: Learning Rate: [8e-05]
Epoch 7/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.07batch/s]
2025-02-02 16:42:20,716 - INFO - valid_loss:1.163077684549185 in epoch7
2025-02-02 16:42:20,717 - INFO - valid_acc:0.8724632993356527 in epoch7
2025-02-02 16:42:20,717 - INFO - Mean iou = 78.55% in epoch7
Epoch 8/500 [Training]: 100%|████████████████████████████████████████████████████████████████████| 75/75 [00:47<00:00,  1.57batch/s]
2025-02-02 16:43:08,571 - INFO - train_loss:1.1638346974054972 in epoch8
2025-02-02 16:43:08,572 - INFO - train_acc:0.8805097584206857 in epoch8
2025-02-02 16:43:08,572 - INFO - Epoch 8: Learning Rate: [9e-05]
Epoch 8/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 13/13 [00:05<00:00,  2.31batch/s]
2025-02-02 16:43:14,211 - INFO - valid_loss:1.1599511274924645 in epoch8
2025-02-02 16:43:14,211 - INFO - valid_acc:0.8668193964561366 in epoch8
2025-02-02 16:43:14,212 - INFO - Mean iou = 77.70% in epoch8
Epoch 9/500 [Training]: 100%|████████████████████████████████████████████████████████████████████| 75/75 [00:47<00:00,  1.59batch/s]
2025-02-02 16:44:01,456 - INFO - train_loss:1.1621905740102132 in epoch9
2025-02-02 16:44:01,457 - INFO - train_acc:0.885607322761749 in epoch9
2025-02-02 16:44:01,457 - INFO - Epoch 9: Learning Rate: [0.0001]
Epoch 9/500 [Validation]: 100%|██████████████████████████████████████████████████████████████████| 13/13 [00:05<00:00,  2.27batch/s]
2025-02-02 16:44:07,177 - INFO - valid_loss:1.1718107828727136 in epoch9
2025-02-02 16:44:07,177 - INFO - valid_acc:0.7909649570624288 in epoch9
2025-02-02 16:44:07,177 - INFO - Mean iou = 67.64% in epoch9
Epoch 10/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:47<00:00,  1.58batch/s]
2025-02-02 16:44:54,570 - INFO - train_loss:1.161005171140035 in epoch10
2025-02-02 16:44:54,570 - INFO - train_acc:0.8940035944544792 in epoch10
2025-02-02 16:44:54,571 - INFO - Epoch 10: Learning Rate: [0.0001]
Epoch 10/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:05<00:00,  2.26batch/s]
2025-02-02 16:45:00,321 - INFO - valid_loss:1.15572032561669 in epoch10
2025-02-02 16:45:00,322 - INFO - valid_acc:0.8864060490120648 in epoch10
2025-02-02 16:45:00,322 - INFO - Mean iou = 80.51% in epoch10
2025-02-02 16:45:00,323 - INFO - save the model in epoch10
Epoch 11/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:47<00:00,  1.58batch/s]
2025-02-02 16:45:47,851 - INFO - train_loss:1.1597602796554565 in epoch11
2025-02-02 16:45:47,852 - INFO - train_acc:0.9020319340528791 in epoch11
2025-02-02 16:45:47,852 - INFO - Epoch 11: Learning Rate: [9.999897245068351e-05]
Epoch 11/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:05<00:00,  2.21batch/s]
2025-02-02 16:45:53,735 - INFO - valid_loss:1.1541416461651142 in epoch11
2025-02-02 16:45:53,736 - INFO - valid_acc:0.9018402657553773 in epoch11
2025-02-02 16:45:53,736 - INFO - Mean iou = 82.94% in epoch11
2025-02-02 16:45:53,737 - INFO - save the model in epoch11
Epoch 12/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 16:46:42,483 - INFO - train_loss:1.1592141056060792 in epoch12
2025-02-02 16:46:42,483 - INFO - train_acc:0.9052092525494608 in epoch12
2025-02-02 16:46:42,483 - INFO - Epoch 12: Learning Rate: [9.999588984497258e-05]
Epoch 12/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:05<00:00,  2.20batch/s]
2025-02-02 16:46:48,402 - INFO - valid_loss:1.1545788599894597 in epoch12
2025-02-02 16:46:48,402 - INFO - valid_acc:0.9046574663859034 in epoch12
2025-02-02 16:46:48,402 - INFO - Mean iou = 83.24% in epoch12
2025-02-02 16:46:48,403 - INFO - save the model in epoch12
Epoch 13/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.56batch/s]
2025-02-02 16:47:36,737 - INFO - train_loss:1.1589226945241293 in epoch13
2025-02-02 16:47:36,738 - INFO - train_acc:0.9077239398226836 in epoch13
2025-02-02 16:47:36,738 - INFO - Epoch 13: Learning Rate: [9.999075230958104e-05]
Epoch 13/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.16batch/s]
2025-02-02 16:47:42,750 - INFO - valid_loss:1.1531165471443763 in epoch13
2025-02-02 16:47:42,750 - INFO - valid_acc:0.9024642654483777 in epoch13
2025-02-02 16:47:42,750 - INFO - Mean iou = 82.92% in epoch13
Epoch 14/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:55<00:00,  1.34batch/s]
2025-02-02 16:48:38,742 - INFO - train_loss:1.1581317027409872 in epoch14
2025-02-02 16:48:38,743 - INFO - train_acc:0.913113434387447 in epoch14
2025-02-02 16:48:38,743 - INFO - Epoch 14: Learning Rate: [9.998356005569284e-05]
Epoch 14/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:05<00:00,  2.23batch/s]
2025-02-02 16:48:44,586 - INFO - valid_loss:1.153779075695918 in epoch14
2025-02-02 16:48:44,587 - INFO - valid_acc:0.9144502897882198 in epoch14
2025-02-02 16:48:44,587 - INFO - Mean iou = 84.88% in epoch14
2025-02-02 16:48:44,587 - INFO - save the model in epoch14
Epoch 15/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:49<00:00,  1.53batch/s]
2025-02-02 16:49:33,777 - INFO - train_loss:1.1578282308578491 in epoch15
2025-02-02 16:49:33,777 - INFO - train_acc:0.9161730464939154 in epoch15
2025-02-02 16:49:33,778 - INFO - Epoch 15: Learning Rate: [9.99743133789534e-05]
Epoch 15/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.15batch/s]
2025-02-02 16:49:39,831 - INFO - valid_loss:1.154908482845013 in epoch15
2025-02-02 16:49:39,831 - INFO - valid_acc:0.9092860311196225 in epoch15
2025-02-02 16:49:39,831 - INFO - Mean iou = 83.95% in epoch15
Epoch 16/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 16:50:28,136 - INFO - train_loss:1.1577663580576578 in epoch16
2025-02-02 16:50:28,137 - INFO - train_acc:0.9164269825207308 in epoch16
2025-02-02 16:50:28,137 - INFO - Epoch 16: Learning Rate: [9.996301265945735e-05]
Epoch 16/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.15batch/s]
2025-02-02 16:50:34,172 - INFO - valid_loss:1.1524393008305476 in epoch16
2025-02-02 16:50:34,172 - INFO - valid_acc:0.916367225945409 in epoch16
2025-02-02 16:50:34,172 - INFO - Mean iou = 85.12% in epoch16
2025-02-02 16:50:34,173 - INFO - save the model in epoch16
Epoch 17/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 16:51:22,897 - INFO - train_loss:1.1575168736775716 in epoch17
2025-02-02 16:51:22,898 - INFO - train_acc:0.9191939732751251 in epoch17
2025-02-02 16:51:22,898 - INFO - Epoch 17: Learning Rate: [9.994965836173304e-05]
Epoch 17/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:05<00:00,  2.23batch/s]
2025-02-02 16:51:28,733 - INFO - valid_loss:1.1518342586664052 in epoch17
2025-02-02 16:51:28,733 - INFO - valid_acc:0.9225331667585325 in epoch17
2025-02-02 16:51:28,733 - INFO - Mean iou = 86.15% in epoch17
2025-02-02 16:51:28,734 - INFO - save the model in epoch17
Epoch 18/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.55batch/s]
2025-02-02 16:52:17,238 - INFO - train_loss:1.1574717648824056 in epoch18
2025-02-02 16:52:17,238 - INFO - train_acc:0.9191782160343839 in epoch18
2025-02-02 16:52:17,239 - INFO - Epoch 18: Learning Rate: [9.99342510347233e-05]
Epoch 18/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:05<00:00,  2.30batch/s]
2025-02-02 16:52:22,897 - INFO - valid_loss:1.1520505776772132 in epoch18
2025-02-02 16:52:22,898 - INFO - valid_acc:0.9130097584087074 in epoch18
2025-02-02 16:52:22,898 - INFO - Mean iou = 84.58% in epoch18
Epoch 19/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:48<00:00,  1.54batch/s]
2025-02-02 16:53:11,745 - INFO - train_loss:1.156841303507487 in epoch19
2025-02-02 16:53:11,746 - INFO - train_acc:0.9233720866607873 in epoch19
2025-02-02 16:53:11,746 - INFO - Epoch 19: Learning Rate: [9.991679131176305e-05]
Epoch 19/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.08batch/s]
2025-02-02 16:53:17,994 - INFO - valid_loss:1.1518251529106727 in epoch19
2025-02-02 16:53:17,994 - INFO - valid_acc:0.9258852725347905 in epoch19
2025-02-02 16:53:17,994 - INFO - Mean iou = 86.67% in epoch19
2025-02-02 16:53:17,995 - INFO - save the model in epoch19
Epoch 20/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:49<00:00,  1.51batch/s]
2025-02-02 16:54:07,784 - INFO - train_loss:1.1567609405517578 in epoch20
2025-02-02 16:54:07,786 - INFO - train_acc:0.924722173733031 in epoch20
2025-02-02 16:54:07,786 - INFO - Epoch 20: Learning Rate: [9.989727991055307e-05]
Epoch 20/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.00batch/s]
2025-02-02 16:54:14,298 - INFO - valid_loss:1.154611275746272 in epoch20
2025-02-02 16:54:14,299 - INFO - valid_acc:0.9172042444920284 in epoch20
2025-02-02 16:54:14,299 - INFO - Mean iou = 85.32% in epoch20
Epoch 21/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:49<00:00,  1.50batch/s]
2025-02-02 16:55:04,294 - INFO - train_loss:1.157179562250773 in epoch21
2025-02-02 16:55:04,295 - INFO - train_acc:0.9229219523381077 in epoch21
2025-02-02 16:55:04,295 - INFO - Epoch 21: Learning Rate: [9.987571763313067e-05]
Epoch 21/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  1.99batch/s]
2025-02-02 16:55:10,827 - INFO - valid_loss:1.1522679787415724 in epoch21
2025-02-02 16:55:10,827 - INFO - valid_acc:0.9289825727129137 in epoch21
2025-02-02 16:55:10,827 - INFO - Mean iou = 87.13% in epoch21
2025-02-02 16:55:10,828 - INFO - save the model in epoch21
Epoch 22/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:49<00:00,  1.50batch/s]
2025-02-02 16:56:00,796 - INFO - train_loss:1.1566553115844727 in epoch22
2025-02-02 16:56:00,797 - INFO - train_acc:0.9268422683387041 in epoch22
2025-02-02 16:56:00,797 - INFO - Epoch 22: Learning Rate: [9.985210536583661e-05]
Epoch 22/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  1.99batch/s]
2025-02-02 16:56:07,317 - INFO - valid_loss:1.1531477799782386 in epoch22
2025-02-02 16:56:07,318 - INFO - valid_acc:0.9075894841811526 in epoch22
2025-02-02 16:56:07,318 - INFO - Mean iou = 83.72% in epoch22
Epoch 23/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:49<00:00,  1.50batch/s]
2025-02-02 16:56:57,255 - INFO - train_loss:1.1563913758595785 in epoch23
2025-02-02 16:56:57,256 - INFO - train_acc:0.9282365746988162 in epoch23
2025-02-02 16:56:57,256 - INFO - Epoch 23: Learning Rate: [9.982644407927872e-05]
Epoch 23/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  1.95batch/s]
2025-02-02 16:57:03,926 - INFO - valid_loss:1.1509956946739783 in epoch23
2025-02-02 16:57:03,927 - INFO - valid_acc:0.926840482154498 in epoch23
2025-02-02 16:57:03,927 - INFO - Mean iou = 86.79% in epoch23
Epoch 24/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:50<00:00,  1.47batch/s]
2025-02-02 16:57:54,884 - INFO - train_loss:1.156096494992574 in epoch24
2025-02-02 16:57:54,885 - INFO - train_acc:0.9310720027686746 in epoch24
2025-02-02 16:57:54,885 - INFO - Epoch 24: Learning Rate: [9.979873482829199e-05]
Epoch 24/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  1.97batch/s]
2025-02-02 16:58:01,491 - INFO - valid_loss:1.1510411592630239 in epoch24
2025-02-02 16:58:01,491 - INFO - valid_acc:0.929733085414893 in epoch24
2025-02-02 16:58:01,491 - INFO - Mean iou = 87.29% in epoch24
2025-02-02 16:58:01,492 - INFO - save the model in epoch24
Epoch 25/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:51<00:00,  1.47batch/s]
2025-02-02 16:58:52,595 - INFO - train_loss:1.1559476137161255 in epoch25
2025-02-02 16:58:52,596 - INFO - train_acc:0.9316159744242365 in epoch25
2025-02-02 16:58:52,596 - INFO - Epoch 25: Learning Rate: [9.976897875189518e-05]
Epoch 25/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  1.92batch/s]
2025-02-02 16:58:59,369 - INFO - valid_loss:1.1518167073910053 in epoch25
2025-02-02 16:58:59,370 - INFO - valid_acc:0.9237741196128113 in epoch25
2025-02-02 16:58:59,370 - INFO - Mean iou = 86.32% in epoch25
Epoch 26/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:51<00:00,  1.47batch/s]
2025-02-02 16:59:50,474 - INFO - train_loss:1.1561178636550904 in epoch26
2025-02-02 16:59:50,475 - INFO - train_acc:0.9320420759819827 in epoch26
2025-02-02 16:59:50,475 - INFO - Epoch 26: Learning Rate: [9.973717707324405e-05]
Epoch 26/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.02batch/s]
2025-02-02 16:59:56,903 - INFO - valid_loss:1.1509622977330134 in epoch26
2025-02-02 16:59:56,904 - INFO - valid_acc:0.9294456278440939 in epoch26
2025-02-02 16:59:56,904 - INFO - Mean iou = 87.21% in epoch26
Epoch 27/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:50<00:00,  1.48batch/s]
2025-02-02 17:00:47,689 - INFO - train_loss:1.1559236574172973 in epoch27
2025-02-02 17:00:47,690 - INFO - train_acc:0.9324172232187506 in epoch27
2025-02-02 17:00:47,690 - INFO - Epoch 27: Learning Rate: [9.970333109958104e-05]
Epoch 27/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  1.99batch/s]
2025-02-02 17:00:54,225 - INFO - valid_loss:1.1503798869939952 in epoch27
2025-02-02 17:00:54,225 - INFO - valid_acc:0.9327453511106433 in epoch27
2025-02-02 17:00:54,225 - INFO - Mean iou = 87.78% in epoch27
2025-02-02 17:00:54,226 - INFO - save the model in epoch27
Epoch 28/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:50<00:00,  1.48batch/s]
2025-02-02 17:01:44,995 - INFO - train_loss:1.1557790438334148 in epoch28
2025-02-02 17:01:44,996 - INFO - train_acc:0.9335541071681643 in epoch28
2025-02-02 17:01:44,996 - INFO - Epoch 28: Learning Rate: [9.966744222218161e-05]
Epoch 28/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  2.00batch/s]
2025-02-02 17:01:51,492 - INFO - valid_loss:1.151879438987145 in epoch28
2025-02-02 17:01:51,493 - INFO - valid_acc:0.9250356680646324 in epoch28
2025-02-02 17:01:51,493 - INFO - Mean iou = 86.50% in epoch28
Epoch 29/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:51<00:00,  1.47batch/s]
2025-02-02 17:02:42,503 - INFO - train_loss:1.1556475416819254 in epoch29
2025-02-02 17:02:42,504 - INFO - train_acc:0.9348530017121385 in epoch29
2025-02-02 17:02:42,504 - INFO - Epoch 29: Learning Rate: [9.962951191629689e-05]
Epoch 29/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  1.96batch/s]
2025-02-02 17:02:49,137 - INFO - valid_loss:1.1507862164424016 in epoch29
2025-02-02 17:02:49,137 - INFO - valid_acc:0.9237782538279938 in epoch29
2025-02-02 17:02:49,137 - INFO - Mean iou = 86.29% in epoch29
Epoch 30/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:50<00:00,  1.47batch/s]
2025-02-02 17:03:40,030 - INFO - train_loss:1.1557433223724365 in epoch30
2025-02-02 17:03:40,031 - INFO - train_acc:0.9347705405457306 in epoch30
2025-02-02 17:03:40,031 - INFO - Epoch 30: Learning Rate: [9.95895417410932e-05]
Epoch 30/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  1.93batch/s]
2025-02-02 17:03:46,763 - INFO - valid_loss:1.1512917922093318 in epoch30
2025-02-02 17:03:46,764 - INFO - valid_acc:0.9267354488934235 in epoch30
2025-02-02 17:03:46,764 - INFO - Mean iou = 86.80% in epoch30
Epoch 31/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:51<00:00,  1.46batch/s]
2025-02-02 17:04:37,995 - INFO - train_loss:1.1556480423609417 in epoch31
2025-02-02 17:04:37,996 - INFO - train_acc:0.9347697288973249 in epoch31
2025-02-02 17:04:37,996 - INFO - Epoch 31: Learning Rate: [9.954753333958791e-05]
Epoch 31/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  1.93batch/s]
2025-02-02 17:04:44,738 - INFO - valid_loss:1.1519083243149977 in epoch31
2025-02-02 17:04:44,738 - INFO - valid_acc:0.9298669908060815 in epoch31
2025-02-02 17:04:44,738 - INFO - Mean iou = 87.32% in epoch31
Epoch 32/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:50<00:00,  1.49batch/s]
2025-02-02 17:05:35,165 - INFO - train_loss:1.1554483699798583 in epoch32
2025-02-02 17:05:35,167 - INFO - train_acc:0.9368761839983281 in epoch32
2025-02-02 17:05:35,167 - INFO - Epoch 32: Learning Rate: [9.950348843858186e-05]
Epoch 32/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  1.92batch/s]
2025-02-02 17:05:41,952 - INFO - valid_loss:1.1502916262700007 in epoch32
2025-02-02 17:05:41,953 - INFO - valid_acc:0.9309244803106497 in epoch32
2025-02-02 17:05:41,953 - INFO - Mean iou = 87.48% in epoch32
Epoch 33/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:51<00:00,  1.47batch/s]
2025-02-02 17:06:33,091 - INFO - train_loss:1.1556526263554892 in epoch33
2025-02-02 17:06:33,092 - INFO - train_acc:0.9360681033818711 in epoch33
2025-02-02 17:06:33,092 - INFO - Epoch 33: Learning Rate: [9.94574088485884e-05]
Epoch 33/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  1.95batch/s]
2025-02-02 17:06:39,765 - INFO - valid_loss:1.1505837532190175 in epoch33
2025-02-02 17:06:39,766 - INFO - valid_acc:0.9349631483941843 in epoch33
2025-02-02 17:06:39,766 - INFO - Mean iou = 88.16% in epoch33
2025-02-02 17:06:39,767 - INFO - save the model in epoch33
Epoch 34/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:51<00:00,  1.46batch/s]
2025-02-02 17:07:31,352 - INFO - train_loss:1.155905367533366 in epoch34
2025-02-02 17:07:31,354 - INFO - train_acc:0.9359003435268977 in epoch34
2025-02-02 17:07:31,354 - INFO - Epoch 34: Learning Rate: [9.940929646375904e-05]
Epoch 34/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:06<00:00,  1.87batch/s]
2025-02-02 17:07:38,306 - INFO - valid_loss:1.1508590441483717 in epoch34
2025-02-02 17:07:38,306 - INFO - valid_acc:0.9324638212738455 in epoch34
2025-02-02 17:07:38,306 - INFO - Mean iou = 87.74% in epoch34
Epoch 35/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:51<00:00,  1.46batch/s]
2025-02-02 17:08:29,725 - INFO - train_loss:1.1553229983647664 in epoch35
2025-02-02 17:08:29,726 - INFO - train_acc:0.9379830792018193 in epoch35
2025-02-02 17:08:29,726 - INFO - Epoch 35: Learning Rate: [9.935915326180545e-05]
Epoch 35/500 [Validation]: 100%|█████████████████████████████████████████████████████████████████| 13/13 [00:07<00:00,  1.84batch/s]
2025-02-02 17:08:36,805 - INFO - valid_loss:1.1503757421786969 in epoch35
2025-02-02 17:08:36,806 - INFO - valid_acc:0.9328784513473173 in epoch35
2025-02-02 17:08:36,806 - INFO - Mean iou = 87.79% in epoch35
Epoch 36/500 [Training]: 100%|███████████████████████████████████████████████████████████████████| 75/75 [00:51<00:00,  1.44batch/s]
2025-02-02 17:09:28,734 - INFO - train_loss:1.1553930028279622 in epoch36
2025-02-02 17:09:28,734 - INFO - train_acc:0.9384036688715046 in epoch36
2025-02-02 17:09:28,734 - INFO - Epoch 36: Learning Rate: [9.930698130391824e-05]
